Tag,States,Use Culture States,Required States Fraction,AI Will Do,Potential,Possible,Geographic Region,Is Major Formation,Unification Play,Leadership Play,Max Num Formation Candidates,Can Be Formation Candidate,Can Be Unification Target
アラビア,"イエメン, オマーン, 休戦海岸, ナジュド, ヒジャーズ, ハーイル, バグダード, トランスヨルダン, パレスチナ, レバノン, シリア, アレッポ, モースル, デリゾール, バスラ, シナイ, 下エジプト, 中央エジプト, マトルー, エジプト砂漠, 上エジプト",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [6164..6193),,BlockPropertyNode: possible = { 1 children } at [6196..6257),,False,,,0,,
大コロンビア,"クンディナマルカ, エクアドル, ミランダ, アンティオキア, グアビアーレ, ボリバル, スリア, カウカ",False,0.85,BlockPropertyNode: ai_will_do = { 1 children } at [6452..6481),,BlockPropertyNode: possible = { 1 children } at [6484..6514),,False,,,0,,
ジンバブエ,ザンベジ,False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [6593..6622),,,,False,,,0,,
バルチスタン,"バルーチスターン, 北バルーチスターン, バンプール",False,0.33,BlockPropertyNode: ai_will_do = { 1 children } at [6748..6777),,BlockPropertyNode: possible = { 2 children } at [6780..6885),,False,,,0,,
北ドイツ連邦,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [7019..7048),,BlockPropertyNode: possible = { 1 children } at [6959..7016),,False,,,0,,
南ドイツ連邦,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [7122..7151),,,,False,,,0,,
マリ,"ティンブクトゥ, 西マリ, 東マリ, セネガル, ギニア, ヴォルタ",False,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [7317..7346),,,,False,,,0,,
トルキスタン,"フェルガナ, ウズベキスタン, キルギス, ホラスミア, メルブ, 南トルキスタン, タジキスタン, トルクメン, シルダリヤ, イリ, タリム盆地, ジュンガリア, セミパラチンスク, アクモリンスク, アクトベ, ウラリスク",False,0.4,BlockPropertyNode: ai_will_do = { 1 children } at [7669..7698),,BlockPropertyNode: possible = { 1 children } at [7701..7762),,False,,,0,,
インドネシア,"アチェ, 中央ジャワ, 東ボルネオ, 東ジャワ, マラヤ, モルッカ, セレベス, 北ボルネオ, 北スマトラ, 南スマトラ, スンダ列島, 西ボルネオ, 西ニューギニア, 西ジャワ",False,0.65,BlockPropertyNode: ai_will_do = { 1 children } at [8097..8126),,BlockPropertyNode: possible = { 1 children } at [8129..8191),,False,,,0,,
インド,"アッサム, アウド, バルーチスターン, ビハール, ボンベイ, マールワー, セイロン, 北サーカーズ, デリー, グジャラート, ハイデラバード, カシミール, カルナティック, マイソール, 中央州, 西ベンガル, オリッサ, パシュトゥーニスタン, パンジャーブ, ラージプーターナー, シンド, 東ベンガル, マラバル, 割譲地区, ブンデールカンド, アーグラ, パンジャーブ丘, クエッタ",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [8722..8751),,BlockPropertyNode: possible = { 1 children } at [8754..8815),,False,,,0,,
イエメン,イエメン,False,1,BlockPropertyNode: ai_will_do = { 1 children } at [8889..8918),,,,False,,,0,,
南カフカース,"チフリス, アルメニア, バクー, カルス, エリザベトポリ",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [9074..9103),,BlockPropertyNode: possible = { 1 children } at [9106..9167),,False,,,0,,
ポリネシア,,True,0.7,,,BlockPropertyNode: possible = { 1 children } at [9280..9341),,False,,,0,,
カザフスタン,"セミパラチンスク, アクモリンスク, イリ, ウラリスク, アクトベ, シルダリヤ",False,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [9501..9530),,BlockPropertyNode: possible = { 1 children } at [9533..9590),,False,,,0,,
アルジェリア,"アルジェ, オラン, コンスタンティーヌ",False,1,BlockPropertyNode: ai_will_do = { 1 children } at [9699..9728),,,,False,,,0,,
ペルー,"リマ, カハマルカ, イカ, アレキパ, タラパカ",False,0.8,BlockPropertyNode: ai_will_do = { 1 children } at [9867..9896),,,,False,,,0,,
ネーデルラント連合,"ホランド, フランドル, ワロン, フリースラント, ヘルレ",False,1,BlockPropertyNode: ai_will_do = { 1 children } at [10038..10067),,,,False,,,0,,
ライン連邦,"ヘッセ, ザクセン, シュレースヴィヒ＝ホルシュタイン, アンハルト, フランケン, バイエルン, ブラウンシュヴァイク, ハノーファー, バーデン, ヴュルテンベルク, ルール, ヴェストファーレン, エルベ, メクレンブルク",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [10369..10398),,BlockPropertyNode: possible = { 2 children } at [10401..10540),,False,,,0,,
中央ヨーロッパ,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [10614..10642),,BlockPropertyNode: possible = { 2 children } at [10645..10768),,False,,,0,,
カロライナ,"ノースカロライナ, サウスカロライナ",False,1,BlockPropertyNode: ai_will_do = { 1 children } at [10874..10903),,BlockPropertyNode: possible = { 2 children } at [10906..11023),,False,,,0,,
アフガニスタン,"ヘラート, カンダハル, カブリスタン, ハザリスタン, 南トルキスタン, パシュトゥーニスタン, クエッタ, 北バルーチスターン",False,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [11235..11264),,,,False,,,0,,
タワンティンスウユ,,True,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [11337..11365),,BlockPropertyNode: possible = { 1 children } at [11368..11425),,False,,,0,,
リオ・デ・ラ・プラタ,"ブエノスアイレス, チャコ, パタゴニア, サンタフェ, ウルグアイ, バホ・パラグアイ, アルト・パラグアイ, メンドーサ, コルドバ, トゥクマン, フフイ, コリエンテス",False,0.85,BlockPropertyNode: ai_will_do = { 1 children } at [11702..11731),,BlockPropertyNode: possible = { 1 children } at [11734..11764),,False,,,0,,
パキスタン,"バルーチスターン, パシュトゥーニスタン, カシミール, パンジャーブ, シンド, クエッタ",False,0.80,BlockPropertyNode: ai_will_do = { 1 children } at [11948..11977),,BlockPropertyNode: possible = { 2 children } at [11980..12082),,False,,,0,,
マグレブ,"マラケシュ, フェズ, アル・リーフ, 内モロッコ, 西サハラ, 内モーリタニア, モーリタニア, サハラ, オラン, アルジェ, コンスタンティーヌ, 東サハラ, チュニジア, トリポリ, フェザーン, キレナイカ",False,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [12427..12455),,BlockPropertyNode: possible = { 1 children } at [12458..12519),,False,,,0,,
オリッサ,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [12590..12619),,BlockPropertyNode: possible = { 2 children } at [12622..12838),,False,,,0,,
ラージプーターナー,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [12909..12938),,BlockPropertyNode: possible = { 2 children } at [12941..13046),,False,,,0,,
グジャラート,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [13117..13146),,BlockPropertyNode: possible = { 2 children } at [13149..13254),,False,,,0,,
マハラシュトラ,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [13325..13354),,BlockPropertyNode: possible = { 1 children } at [13357..13420),,False,,,0,,
潘,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [13491..13520),,BlockPropertyNode: possible = { 1 children } at [13523..13586),,False,,,0,,
ヒンドゥスターン,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [13657..13686),,,,False,,,0,,
ドラヴィダ・ナドゥ,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [13760..13789),,BlockPropertyNode: possible = { 2 children } at [13792..13901),,False,,,0,,
カルナティック,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [13975..14004),,BlockPropertyNode: possible = { 1 children } at [14007..14070),,False,,,0,,
ベンガル,,True,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [14143..14172),,BlockPropertyNode: possible = { 1 children } at [14175..14238),,False,,,0,,
ガリツィア・ロドメリア,"東ガリツィア, 西ガリツィア",False,1,BlockPropertyNode: ai_will_do = { 1 children } at [14341..14370),,,,False,,,0,,
ウズベキスタン,"ウズベキスタン, フェルガナ, ホラスミア",False,0.66,BlockPropertyNode: ai_will_do = { 1 children } at [14479..14508),,BlockPropertyNode: possible = { 1 children } at [14511..14568),,False,,,0,,
キルギス,キルギス,False,1,BlockPropertyNode: ai_will_do = { 1 children } at [14615..14644),,BlockPropertyNode: possible = { 1 children } at [14647..14704),,False,,,0,,
タジキスタン,"タジキスタン, 南トルキスタン",False,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [14799..14828),,BlockPropertyNode: possible = { 1 children } at [14831..14888),,False,,,0,,
リビア,"トリポリ, キレナイカ, フェザーン",False,1,BlockPropertyNode: ai_will_do = { 1 children } at [15000..15029),BlockPropertyNode: potential = { 1 children } at [15032..15179),BlockPropertyNode: possible = { 1 children } at [15182..15239),,False,,,0,,
アンティル連邦,"中央キューバ, 西キューバ, 東キューバ, ポルトリコ, サント・ドミンゴ",False,0.8,BlockPropertyNode: ai_will_do = { 1 children } at [15406..15435),,BlockPropertyNode: possible = { 1 children } at [15438..15499),,False,,,0,,
ドイツ,,False,0.73,BlockPropertyNode: ai_will_do = { 1 children } at [205..261),,BlockPropertyNode: possible = { 4 children } at [264..768),大ドイツ,True,ドイツ統一,ドイツのリーダーシップ,3,BlockPropertyNode: can_be_formation_candidate = { 1 children } at [805..879),BlockPropertyNode: can_be_unification_target = { 1 children } at [882..1016)
イタリア,,False,0.7,BlockPropertyNode: ai_will_do = { 1 children } at [1210..1266),BlockPropertyNode: potential = { 1 children } at [1269..1389),BlockPropertyNode: possible = { 3 children } at [1392..1655),イタリア,True,イタリア統一,イタリアのリーダーシップ,3,BlockPropertyNode: can_be_formation_candidate = { 4 children } at [1692..2121),BlockPropertyNode: can_be_unification_target = { 1 children } at [2124..2364)
スカンジナビア,,False,0.7,BlockPropertyNode: ai_will_do = { 1 children } at [2576..2605),,BlockPropertyNode: possible = { 1 children } at [2608..2815),スカンジナビア,True,スカンジナビア統一,スカンジナビアのリーダーシップ,1,BlockPropertyNode: can_be_formation_candidate = { 2 children } at [2852..3233),
アンデス連邦,,False,0.8,BlockPropertyNode: ai_will_do = { 1 children } at [3439..3468),BlockPropertyNode: potential = { 1 children } at [3471..3519),BlockPropertyNode: possible = { 2 children } at [3522..4132),アンデス,True,アンデス統一,アンデスのリーダーシップ,3,BlockPropertyNode: can_be_formation_candidate = { 1 children } at [4169..4243),
ユーゴスラビア,,False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [4453..4482),BlockPropertyNode: potential = { 3 children } at [4486..4726),BlockPropertyNode: possible = { 3 children } at [4729..5108),ユーゴスラビア,True,dp_unify_yugoslavia,dp_leadership_yugoslavia,3,BlockPropertyNode: can_be_formation_candidate = { 3 children } at [5192..5584),BlockPropertyNode: can_be_unification_target = { 3 children } at [5587..6175)
