Tag,Create States,Homelands,Claims
アイオワ,c:USA(47),"ヤンキー, ダコタ",
ミネソタ,"c:USA(40), c:LKT(32)","ヤンキー, ダコタ, アルゴンキン",アメリカ
ウィスコンシン,c:USA(47),"ヤンキー, ダコタ, アルゴンキン",
インディアナ,c:USA(25),ヤンキー,
ミシガン,c:USA(50),"ヤンキー, アルゴンキン",
オハイオ,c:USA(29),ヤンキー,
ケンタッキー,c:USA(32),"ディキシー, ヤンキー",
テネシー,c:USA(30),"ディキシー, ヤンキー",
ミシシッピ,c:USA(26),"ディキシー, アフリカ系アメリカ",
アラバマ,c:USA(29),"ディキシー, アフリカ系アメリカ, カド",
フロリダ,"c:USA(30), c:SML(5)","ディキシー, アフリカ系アメリカ, マスコギ",アメリカ
ジョージア,c:USA(37),"ディキシー, アフリカ系アメリカ",
コロンビア特別区,c:USA(2),"ディキシー, ヤンキー",
ウェストヴァージニア,c:USA(19),"ディキシー, ヤンキー",
メリーランド,c:USA(9),"ディキシー, ヤンキー",
デラウェア,c:USA(2),"ディキシー, ヤンキー",
ペンシルベニア,c:USA(34),ヤンキー,
ニュージャージー,c:USA(5),ヤンキー,
イリノイ,c:USA(42),ヤンキー,
コネチカット,c:USA(3),ヤンキー,
ロードアイランド,c:USA(3),ヤンキー,
マサチューセッツ,c:USA(6),ヤンキー,
バーモント,c:USA(6),ヤンキー,
ニューハンプシャー,c:USA(9),ヤンキー,
メイン,c:USA(27),ヤンキー,
ノースカロライナ,c:USA(32),ディキシー,
テキサス,"c:TEX(81), c:MEX(39), c:COM(39)","ディキシー, アフリカ系アメリカ, メキシコ, コマンチェ","メキシコ, テキサス"
ユーコン準州,"c:ATB(312), c:HBC(73)","イギリス系カナダ, アサバスカ",ハドソン湾会社
ノースウェスト準州,c:HBC(923),"イギリス系カナダ, アサバスカ",
ヌナブト,c:HBC(1085),"イヌイット, イギリス系カナダ",
北コロンビア,"c:ORG(209), c:ATB(143), c:HBC(62)","イギリス系カナダ, アサバスカ, セイリッシュ",オレゴン
アルバータ,"c:HBC(222), c:IRC(26), c:BLF(48)","クリー, メティス, イギリス系カナダ, アサバスカ",ハドソン湾会社
サスカチュワン,"c:HBC(206), c:IRC(60)","クリー, メティス, イギリス系カナダ, アサバスカ",ハドソン湾会社
マニトバ,"c:HBC(259), c:IRC(8)","メティス, イギリス系カナダ",
オンタリオ,"c:HBC(277), c:ONT(94)","イギリス系カナダ, イロコイ, アルゴンキン",
ケベック,"c:QUE(220), c:HBC(420)",フランス・カナダ,
ニューファンドランド,c:GBR(154),イギリス系カナダ,
グアテマラ,"c:UCA(22), c:GBR(3)","マヤ, 中央アメリカ",
ホンジュラス,c:UCA(23),中央アメリカ,
ニカラグア,"c:UCA(19), c:MKT(4)","中央アメリカ, ミスキート",
コスタリカ,c:UCA(11),中央アメリカ,
パナマ,c:CLM(14),"中央アメリカ, アフリカ系カリベニョ",
西キューバ,c:CUB(6),カリベニョ,
東キューバ,c:CUB(6),カリベニョ,
中央キューバ,c:CUB(10),カリベニョ,
ウルグアイ,c:URU(44),プラティニア,
エクアドル,c:ECU(49),"北アンデス, ケチュア",
サント・ドミンゴ,c:HAI(8),"アフリカ系カリベニョ, カリベニョ",
ハイチ,c:HAI(7),アフリカ系アンティル,
ゴットランド,c:SWE(2),スウェーデン,
イェータランド,c:SWE(27),スウェーデン,
スコーネ,c:SWE(10),スウェーデン,
ノールランド,c:SWE(186),"スウェーデン, サーミ",
スヴェアランド,c:SWE(58),スウェーデン,
シチリア,c:SIC(7),南イタリア,
イオニア諸島,c:ION(2),ギリシャ,ギリシャ
ペロポネソス,c:GRE(5),ギリシャ,
アルバニア,c:TUR(9),アルバニア,
ボスニア,c:TUR(17),"ボスニア, セルビア, クロアチア",
南トランシルヴァニア,c:TRS(9),"ハンガリー, ゼクラー, ルーマニア",
ハワイ諸島,c:HAW(3),ハワイ,
北トランシルヴァニア,c:TRS(12),"ハンガリー, ゼクラー, ルーマニア",
ブコヴィナ,c:AUS(5),"ウクライナ, ルーマニア",
モルダヴィア,c:MOL(14),ルーマニア,
ワラキア,c:WAL(24),ルーマニア,
ガリシア,c:SPA(8),"スペイン, ガリシア",
アストゥリアス,c:SPA(4),"スペイン, アストゥリアス・レオン",
旧カスティーリャ,c:SPA(22),スペイン,
アラゴン,"c:SPA(8), c:SPC(3)","スペイン, アラゴン",
バスク州,c:SPC(5),"スペイン, バスク",
カタルーニャ,"c:SPA(6), c:SPC(5)","スペイン, カタルーニャ",
バレアレス諸島,c:SPA(2),"スペイン, カタルーニャ",
ニューサウスウェールズ,c:NSW(196),"オーストラリア, アボリジニ",
ヴィクトリア,c:NSW(62),"オーストラリア, アボリジニ",
タスマニア,c:TAS(21),"オーストラリア, アボリジニ",
クイーンズランド,c:NSW(367),"オーストラリア, アボリジニ",
南オーストラリア,"c:SAS(288), c:WTI(56), c:KAU(33)","オーストラリア, アボリジニ",南オーストラリア
西オーストラリア,"c:WAS(205), c:NNG(66), c:WTI(255), c:MRN(23)","オーストラリア, アボリジニ",西オーストラリア
ノーザンテリトリー,"c:WTI(54), c:NSW(238)","オーストラリア, アボリジニ",ニュー・サウス・ウェールズ
北島,"c:UNT(22), c:NSW(12), c:NTO(1)","オーストラリア, マオリ","西オーストラリア, 部族連合"
南島,"c:NTO(6), c:NTU(41)","オーストラリア, マオリ","ニュー・サウス・ウェールズ, 部族連合"
東ミクロネシア,c:MCR(6),ミクロネシア,
西ミクロネシア,"c:MCR(2), c:PHI(2)",ミクロネシア,
西ジャワ,c:DEI(8),ジャワ,
東ジャワ,c:DEI(10),ジャワ,
中央ジャワ,"c:DEI(9), c:YOG(1), c:SRK(1)",ジャワ,
セイロン,"c:BCE(13), c:MLD(1), c:GBR(1)","タミル, シンハラ",
ウルガ,c:CHI(261),モンゴル,
ウリヤスタイ,c:CHI(273),モンゴル,
オマーン,c:OMA(68),ベドウィン,
休戦海岸,"c:ABU(15), c:OMA(1), c:BHN(3)",ベドウィン,
イエメン,"c:ZAI(27), c:HDJ(5), c:LAH(8), c:MAH(12), c:KAT(35)","ベドウィン, イエメン",
ヒジャーズ,c:HDJ(105),"ベドウィン, マシュリク",
チュニジア,c:TUN(39),"マグリブ, アマーズィーグ",
ギニア,"c:MDK(24), c:SSU(9), c:FTJ(16), c:POR(1), c:KBU(8)","フルベ, マンデ, ジュラ, キッシ",
ゴールドコースト,"c:DEN(1), c:SIL(1), c:NET(1), c:ASH(36)","アカン, モシ, エウェ",
トーゴ,"c:ASH(11), c:EWE(4)","エウェ, アカン, フォン, モシ",
ダホメ,"c:DAH(6), c:BRG(16)","フォン, ヨルバ, フルベ, アカン, ソンガイ",
ガボン,"c:FNG(41), c:LNG(9)","芳, 赤道バントゥー, バコンゴ",
ボツワナ,"c:TSW(66), c:LZO(5), c:SAN(58)","ツワナ, ヘレロ, コイサン, ングニ",
ザンビア,"c:LZO(86), c:BMB(9)","カヴァンゴ・バントゥー, ルンダ, チェワ",
カンボジア,"c:SIA(10), c:CAM(19), c:KLO(5)","クメール, チャンパ",カンボジア
サヴォイ,c:SAR(4),"北イタリア, フランス, フランコ・プロヴァンサル",
穀物海岸,"c:LIB(4), c:MDK(9), c:KRU(3)","マンデ, クル, バサ, キッシ, アフリカ系アメリカ",リベリア
エミリア,"c:PAR(2), c:LUC(1), c:MOD(2)",北イタリア,
トスカーナ,c:TUS(6),北イタリア,
ロマーニャ,c:PAP(4),北イタリア,
ラツィオ,c:PAP(4),南イタリア,
ネバダ,"c:MEX(74), c:BNN(7)",パイユート,
アリゾナ,"c:MEX(43), c:NVJ(18), c:APC(16)","ナバホ, アパッチ, プエブロ",メキシコ
ニューメキシコ,"c:MEX(62), c:NVJ(8), c:COM(12), c:APC(8)","ナバホ, メキシコ, プエブロ, コマンチェ, アパッチ","テキサス, メキシコ"
カリフォルニア,c:MEX(110),ホカ,
ソノラ,c:MEX(34),"メキシコ, オオダム",
チワワ,c:MEX(62),"メキシコ, オオダム, アパッチ",
リオ・グランデ,c:MEX(66),メキシコ,
ドゥランゴ,c:MEX(26),メキシコ,
シナロア,c:MEX(9),メキシコ,
バヒオ,c:MEX(22),"ナワ, メキシコ",
ユカタン,c:MEX(28),"メキシコ, マヤ",
メキシコ,c:MEX(16),"メキシコ, ナワ, サポテカ, ミシュテカ",
ベラクルス,c:MEX(18),"メキシコ, ナワ",
ゲレーロ,c:MEX(13),"メキシコ, ナワ, サポテカ",
オアハカ,c:MEX(20),"メキシコ, サポテカ, ミシュテカ",
ハリスコ,c:MEX(35),メキシコ,
サカテカス,c:MEX(19),"メキシコ, ナワ",
ガイアナ,"c:NET(29), c:FRA(13), c:GBR(36)","アマゾン, アフリカ系アンティル, アフリカ系カリブ",
スリア,c:VNZ(23),"北アンデス, アフリカ系カリベニョ, グアヒロ, カリブ",
ミランダ,c:VNZ(49),"北アンデス, アフリカ系カリベニョ, カリブ",
ボリバル,c:VNZ(95),"北アンデス, アフリカ系カリベニョ, アマゾン, カリブ",
アンティオキア,c:CLM(57),"北アンデス, アフリカ系カリベニョ, グアヒロ, カリブ",
グアビアーレ,c:CLM(124),"北アンデス, アフリカ系カリベニョ, アマゾン",
クンディナマルカ,c:CLM(17),"北アンデス, アフリカ系カリベニョ, ムイスカ",
カウカ,c:CLM(19),"北アンデス, アフリカ系カリベニョ, ケチュア",
パスタサ,"c:NPU(22), c:ECU(51)",アマゾン,
カハマルカ,c:NPU(34),"南アンデス, ケチュア",
リマ,c:NPU(56),"南アンデス, ケチュア",
イカ,"c:SPU(40), c:IQU(17)","南アンデス, ケチュア",
アレキパ,c:SPU(24),"南アンデス, ケチュア, アイマラ",
パラー,c:PRA(257),"ブラジル, アマゾニック, アマゾン, アフリカ系ブラジル",ブラジル
マラニョン,c:BRZ(57),"ブラジル, アマゾニック, ノルデスティーノ, アフリカ系ブラジル, トゥピナンバ",
アマゾナス,"c:CLM(35), c:PRA(255), c:BOL(46)",アマゾン,ブラジル
アクレ,c:BOL(29),アマゾン,
ゴイアス,c:BRZ(116),"ブラジル, ノルデスティーノ, アフリカ系ブラジル, トゥピナンバ",ブラジル
マットグロッソ,"c:PRG(11), c:BRZ(281), c:BOL(5)","ブラジル, パウリスタ, アマゾン, グアラニー",
リオグランデ・ド・スル,c:PNI(60),"ブラジル, スリスタ, アフリカ系ブラジル, グアラニー",ブラジル
パラナ,c:BRZ(41),"ブラジル, パウリスタ, スリスタ, グアラニー",
サンタカタリーナ,c:BRZ(20),"ブラジル, スリスタ, グアラニー",
サンパウロ,c:BRZ(56),"ブラジル, パウリスタ, アフリカ系ブラジル",
ミナスジェライス,c:BRZ(118),"ブラジル, アフリカ系ブラジル",
リオデジャネイロ,c:BRZ(16),"ブラジル, アフリカ系ブラジル",
バイーア,c:BRZ(110),"ブラジル, ノルデスティーノ, アフリカ系ブラジル, トゥピナンバ",
リオグランデ・ド・ノルテ,c:BRZ(9),"ブラジル, ノルデスティーノ, アフリカ系ブラジル, トゥピナンバ",
セアラー,c:BRZ(28),"ブラジル, ノルデスティーノ, アフリカ系ブラジル, トゥピナンバ",
ピアウイ,c:BRZ(50),"ブラジル, ノルデスティーノ, アフリカ系ブラジル, トゥピナンバ",
ペルナンブーコ,c:BRZ(29),"ブラジル, ノルデスティーノ, アフリカ系ブラジル",
パライバ,c:BRZ(9),"ブラジル, ノルデスティーノ, アフリカ系ブラジル",
アルト・パラグアイ,c:GNI(67),"プラティニア, グアラニー",
バホ・パラグアイ,c:PRG(31),"プラティニア, グアラニー",
ブエノスアイレス,"c:ARG(25), c:PAT(56)","プラティニア, パタゴニア",アルゼンチン
パタゴニア,"c:THL(131), c:PAT(98)",パタゴニア,"アルゼンチン, チリ"
メンドーサ,"c:ARG(43), c:PAT(41)","プラティニア, パタゴニア",アルゼンチン
コルドバ,c:ARG(58),"プラティニア, パタゴニア",
サンタフェ,"c:GNI(17), c:ARG(38)",プラティニア,
コリエンテス,c:ARG(29),"プラティニア, スリスタ, グアラニー",
トゥクマン,c:ARG(69),プラティニア,
チャコ,"c:GNI(33), c:ARG(15)","プラティニア, グアラニー",
フフイ,"c:BOL(32), c:ARG(14)",プラティニア,アルゼンチン
サンタクルス,c:BOL(96),"南アンデス, グアラニー, ケチュア",
ラパス,c:BOL(89),"南アンデス, アイマラ, ケチュア, アマゾン",
ポトシ,c:BOL(31),"南アンデス, アイマラ",
サンティアゴ,c:CHL(39),南アンデス,
ロスリオス,c:CHL(31),"南アンデス, パタゴニア",
アラウカニア,"c:CHL(10), c:THL(89), c:SLK(27)",パタゴニア,"チリ, アルゼンチン"
南大西洋諸島,c:GBR(7),イングランド,
アイスランド,c:DEN(70),アイスランド,
グリーンランド,c:DEN(349),イヌイット,
西サハラ,"c:DLM(26), c:TEK(14), c:RGB(14)","アマーズィーグ, ビダン, ハラティン",モロッコ
マラケシュ,c:MOR(19),"マグリブ, アマーズィーグ",
フェズ,c:MOR(14),"マグリブ, アマーズィーグ",
アル・リーフ,"c:MOR(6), c:SPA(2)","マグリブ, アマーズィーグ",
内モロッコ,"c:MOR(62), c:TEK(9)","マグリブ, アマーズィーグ",モロッコ
オラン,"c:MAS(18), c:FRA(2)","マグリブ, アマーズィーグ",
サハラ,"c:MZB(52), c:TUA(60), c:RGB(25), c:TEK(14), c:CMB(31)","アマーズィーグ, トゥアレグ",
東サハラ,"c:AHG(112), c:TUG(27), c:AJJ(39), c:CMB(73), c:ADG(21)","トゥアレグ, アマーズィーグ",
アルジェ,"c:MAS(23), c:FRA(1)","マグリブ, アマーズィーグ",
コンスタンティーヌ,"c:CON(24), c:FRA(2), c:AIT(8)","マグリブ, アマーズィーグ",
トリポリ,"c:TRI(17), c:FZN(50), c:ZWY(5)","マグリブ, ベドウィン, アマーズィーグ","トリポリ, フェザーン"
フェザーン,"c:FZN(30), c:AJJ(33), c:TBI(42), c:ZWY(23)","トゥブ, トゥアレグ, ベドウィン","トリポリ, フェザーン"
キレナイカ,"c:TRI(30), c:TBI(67), c:ZWY(74)","マグリブ, ベドウィン, トゥブ",トリポリ
上エジプト,c:EGY(33),"ミスル, ベドウィン, ベジャ",
エジプト砂漠,c:EGY(96),"ミスル, ベドウィン",
中央エジプト,c:EGY(15),ミスル,
マトルー,c:EGY(47),"ミスル, ベドウィン, アマーズィーグ",
シナイ,c:EGY(13),ミスル,
ドンゴラ,c:EGY(134),"ベドウィン, スーダン, ベジャ",
コルドファン,c:EGY(81),"ベドウィン, スーダン, ディンカ, ヌバ",
ダルフール,c:DFR(96),"フール, ディンカ",
青ナイル,c:EGY(72),"ベドウィン, スーダン, ディンカ, ヌエル, ヌバ",
沿海州,"c:NBS(22), c:NVS(18)","イギリス系カナダ, フランス・カナダ",
北アンゴラ,"c:POR(3), c:KON(19)","バコンゴ, カヴァンゴ・バントゥー",
南アンゴラ,"c:HRO(8), c:POR(6), c:OVM(35), c:OVB(11)","オヴィンブンド, カヴァンゴ・バントゥー",ポルトガル
東アンゴラ,"c:CHK(90), c:LND(21), c:KSN(30), c:LZO(5)","オヴィンブンド, ルンダ, カヴァンゴ・バントゥー",
インド洋地域,"c:FRA(1), c:GBR(2)",,
ロウレンソ・マルケス,"c:POR(1), c:GZA(41)","トンガ, ングニ, ショナ",
モザンビーク,"c:POR(8), c:MRV(60), c:TGI(3), c:AGC(7)","マクア, セナ, チェワ, ヤオ, ロムウェ, 湖水バントゥー",
ザンベジア,"c:POR(16), c:MSK(10), c:MNC(10), c:GZA(5), c:MTP(3)","セナ, ショナ, 湖水バントゥー",
東ケープ,"c:SAF(21), c:XHO(17)","コサ, コイサン",南アフリカ
ケープ植民地,"c:SAF(27), c:NAM(16)","ボーア, ソト, コイサン",南アフリカ
北ケープ,"c:SAF(40), c:TSW(18), c:WBL(8), c:SAN(18)","ボーア, グリカ, ソト, コイサン, ツワナ",
ウェールズ,c:GBR(9),"イングランド, ウェールズ",
ヨークシャー,c:GBR(9),イングランド,
ハイランド,c:GBR(19),"スコットランド, ゲール",
ミッドランド,c:GBR(11),イングランド,
イーストアングリア,c:GBR(9),イングランド,
ウェストカントリー,c:GBR(11),イングランド,
ローランド,c:GBR(16),"スコットランド, ゲール",
アルスター,c:GBR(8),"アイルランド, イングランド, スコットランド",
マンスター,c:GBR(10),アイルランド,
レンスター,c:GBR(9),アイルランド,
ラングドック,c:FRA(13),"フランス, オック",
ローヌ,c:FRA(11),"フランス, オック, フランコ・プロヴァンサル",
フランス低地諸国,c:FRA(6),"フランス, フランドル",
ピカルディー,c:FRA(6),フランス,
アルザス＝ロレーヌ,c:FRA(4),"フランス, 南ドイツ, アレマン",
ポワトゥー＝サントンジュ,c:FRA(8),フランス,
ギュイエンヌ,c:FRA(12),"フランス, オック",
オーベルジュ＝リムーザン,c:FRA(13),"フランス, オック",
ブルターニュ,c:FRA(14),"フランス, ブルトン",
ブルゴーニュ,c:FRA(12),フランス,
シャンパーニュ,c:FRA(10),フランス,
フランシュ＝コンテ,c:FRA(6),フランス,
ロレーヌ,c:FRA(6),フランス,
アキテーヌ,c:FRA(12),"フランス, オック",
メーヌ＝アンジュー,c:FRA(9),フランス,
オルレアン＝ベリー,c:FRA(13),フランス,
イル＝ド＝フランス,c:FRA(4),フランス,
エルベ,"c:BRE(2), c:HAM(2), c:HAN(5)",北ドイツ,
ベイラ,c:POR(6),ポルトガル,
エストレマドゥーラ,c:POR(4),ポルトガル,
アレンテージョ,c:POR(9),ポルトガル,
マデイラ,c:POR(2),ポルトガル,
カーボベルデ,c:POR(4),アフリカ系ブラジル,
アゾレス,c:POR(3),ポルトガル,
カナリア諸島,c:SPA(5),スペイン,
上アンダルシア,"c:SPA(12), c:GBR(1)",スペイン,
エストレマドゥーラ,c:SPA(12),"スペイン, アストゥリアス・レオン",
バレンシア,c:SPA(7),"カタルーニャ, スペイン",
新カスティーリャ,c:SPA(18),スペイン,
ムルシア,c:SPA(8),スペイン,
レオン,c:SPA(10),"スペイン, アストゥリアス・レオン",
エントレ・ドウロ・エ・ミーニョ,c:POR(6),ポルトガル,
ワロン,"c:LUX(1), c:BEL(7)",ワロン,オランダ
フランドル,c:BEL(6),フランドル,オランダ
フリースラント,c:NET(5),オランダ,
ヘルレ,"c:NET(4), c:BEL(1)",オランダ,オランダ
ユトランド,c:DEN(12),デンマーク,
シェラン,c:DEN(5),デンマーク,
西ノルウェー,c:NOR(51),ノルウェー,
北ノルウェー,c:NOR(133),"ノルウェー, サーミ",
東ノルウェー,c:NOR(40),ノルウェー,
東スイス,c:SWI(5),アレマン,
西スイス,c:SWI(10),"アレマン, フランコ・プロヴァンサル",
ポルトリコ,c:PCO(2),"カリベニョ, アフリカ系カリベニョ",
バハマ,c:GBR(4),"アフリカ系アンティル, アフリカ系カリブ",
バミューダ,c:GBR(2),アフリカ系カリブ,
西インド諸島,"c:FRA(2), c:DEN(1), c:GBR(11), c:NET(3), c:VNZ(1)","アフリカ系アンティル, アフリカ系カリブ",
ジャマイカ,c:GBR(3),アフリカ系カリブ,
オリッサ,"c:BIC(6), c:MYB(6), c:PTN(8), c:NAR(3)",オリア,
シンド,c:SIN(32),シンド,東インド
ラージプーターナー,"c:BIK(13), c:JAS(9), c:MEW(8), c:JOD(22), c:JAI(10), c:BIC(1), c:ALW(4), c:KOT(3), c:GWA(1), c:IND(1)",ラージプート,
北サーカーズ,"c:BIC(17), c:JEY(7)",テルグ,
パンジャーブ,"c:PAN(42), c:BHW(10)",パンジャーブ,東インド
中央州,"c:HYD(9), c:NAG(25), c:BAS(10), c:BIC(21)","マラーター, チャッティースガリー, ゴーンディー, ダッキニー, バゲーリー, ブンデールカンド",
マイソール,"c:MYS(14), c:BIC(2)","カンナダ, ダッキニー",
マラバル,"c:TRA(5), c:BIC(3), c:COC(1)",マラヤーラム,
カルナティック,"c:FRA(1), c:DEN(1), c:BIC(23), c:PUD(1)","タミル, カンナダ",
カシミール,"c:KAS(10), c:CHT(10), c:LAD(27)","カシミール, チベット","東インド, カシミール"
ハイデラバード,c:HYD(45),"テルグ, ダッキニー, マラーター, カンナダ",
グジャラート,"c:BER(8), c:KUT(7), c:POR(2), c:DHA(2), c:IDA(5), c:NAW(6), c:PLP(1), c:BIC(6), c:JUN(3), c:BHV(3)","グジャラート, シンド",
マールワー,"c:IND(9), c:GWA(19), c:BHO(2)","マラーター, ブンデールカンド",
ボンベイ,"c:POR(1), c:BIC(25), c:SAT(10), c:KHP(3)","マラーター, カンナダ, ダッキニー",
ビハール,c:BIC(39),ビハール,
西ベンガル,"c:BIC(16), c:COO(1)",ベンガル,
アッサム,"c:BIC(9), c:ASM(6), c:NGA(11), c:MNP(5), c:TIP(3), c:KKI(4), c:MGH(5)","アッサム, ベンガル, マニプル, ナガ",東インド
アウド,"c:AWA(15), c:BIC(13)",アワディー,
デリー,"c:BIC(9), c:MUG(1), c:PTA(1)",ヒンドゥスターン,
テナセリム,"c:BIC(12), c:SIA(17)","ビルマ, カレン, タイ, マレー",
サガイン,c:BUR(41),"ビルマ, カチン, シャン",
シャン,"c:BUR(15), c:SHS(21)","カチン, シャン",
マンダレー,"c:BUR(15), c:KKI(8)","ビルマ, カチン",
ペグー,"c:BUR(19), c:BIC(1), c:DEN(1)","カレン, モン, ビルマ",
北スマトラ,"c:DEI(19), c:SAK(10), c:JMB(8)","スマトラ, バタク",
南スマトラ,c:DEI(30),"スマトラ, バタク",
アチェ,"c:ACE(11), c:SAK(6), c:DEI(4)",スマトラ,
西ニューギニア,"c:PPU(41), c:TID(34)",メラネシア,
モルッカ,"c:DEI(10), c:TID(6)",モルッカ,
セレベス,"c:SLW(26), c:DEI(5), c:BTN(2), c:TID(1)",モルッカ,東インド諸島
西ボルネオ,"c:LAN(3), c:DEI(12), c:SMB(3), c:PON(9), c:STG(11)","ボルネオ, ダヤク",
東ボルネオ,"c:DEI(6), c:BLG(15), c:BNJ(21), c:KTI(21)","ボルネオ, ダヤク",
スンダ列島,"c:BAL(2), c:POR(6), c:DEI(8)","モルッカ, バリ",
マラヤ,"c:JOH(9), c:SIA(3), c:BIC(3), c:PRK(5), c:SEL(3)",マレー,
北ボルネオ,"c:BRU(30), c:SUL(7), c:BLG(2)","ボルネオ, ダヤク",
ミンダナオ,"c:PHI(3), c:SUL(2), c:MND(11), c:MGD(5)","フィリピン・メスティーソ, ビサヤ, ルマッド, モロ","フィリピン, マギンダナオ, スールー"
ルソン,"c:PHI(24), c:SUL(1)","フィリピン・メスティーソ, タガログ, イロカノ",
ビサヤ,c:PHI(15),"フィリピン・メスティーソ, ビサヤ",
アッティカ,c:GRE(8),ギリシャ,
スコピア,c:TUR(7),"ギリシャ, ブルガリア, トルコ, アルバニア",
マケドニア,c:TUR(9),"ギリシャ, トルコ",
テッサリア,c:TUR(6),ギリシャ,ギリシャ
西トラキア,c:TUR(7),"ギリシャ, トルコ, ブルガリア",
北トラキア,c:TUR(11),"トルコ, ブルガリア",
ブルガリア,c:TUR(16),"トルコ, ブルガリア",
南マダガスカル,c:MAD(62),マダガスカル,
北マダガスカル,c:MAD(60),マダガスカル,
オロミア,"c:HAR(35), c:SHW(12), c:ARS(5), c:OGD(35)","オロモ, アムハラ, ソマリ",
アムハラ,"c:WLG(12), c:HDY(4), c:BRN(19), c:KFA(10), c:ANU(9), c:OMO(8), c:SDM(4), c:WLT(2)","オロモ, アムハラ, シダマ",
ゴンダール,"c:QWR(7), c:BGM(19), c:AWS(3), c:TGR(14), c:GJM(11)","オロモ, アムハラ, ティグライ, アファル",
カゼンベ,"c:BMB(38), c:KZM(14), c:MRV(8)","ルンダ, チェワ, 湖水バントゥー",
エリトリア,"c:EGY(23), c:AWS(5)","ティグライ, アファル",
ソマリランド,"c:ISQ(20), c:WSG(18), c:GLD(46), c:MJT(40)",ソマリ,
ナマクアランド,"c:NAM(62), c:SAN(3)","コイサン, ツワナ",
ヘレロランド,"c:HRO(54), c:SAN(21), c:OVB(30)","ヘレロ, コイサン, カヴァンゴ・バントゥー",
ザンベジ,"c:MSH(60), c:MNC(6), c:MTP(14)","ショナ, ングニ, 湖水バントゥー",
ケニア,"c:KKY(6), c:SKY(22), c:MBS(3), c:WTU(2), c:OMA(7), c:MJK(6), c:ORM(8), c:AJR(12), c:AUL(10)","ソマリ, キクユ, 湖水バントゥー, スワヒリ, マサイ",
リフトバレー,"c:MSI(20), c:LUO(2), c:TRK(11)","羅, ナイル, マサイ, キクユ",
チャド,"c:WAD(39), c:TBI(125), c:BOR(11)","トゥブ, ベドウィン, フール, 赤道バントゥー",
ワッダイ,"c:WAD(58), c:BGI(20), c:BOR(3)","フール, サラ, バギルミ, 赤道バントゥー",
ルフィジ,"c:HHE(54), c:GGO(11), c:SNG(13)","ヤオ, マクア, ニャムウェジ, 湖水バントゥー, チェワ",
ザンジバル,c:OMA(15),"湖水バントゥー, スワヒリ, スクマ",
タンガニーカ,"c:NYM(42), c:MSI(18), c:SKM(12), c:KRG(6), c:RWD(4), c:BRD(3)","湖水バントゥー, ニャムウェジ, ルンディ, ルワンダ, スクマ, マサイ, 羅",
モーリタニア,"c:OUA(26), c:TRZ(23), c:FTR(6), c:DLM(5), c:ADR(6), c:BRK(9)","ビダン, ハラティン",
