Tag,Color,Type,Tier,Social Hierarchy,Religion,Cultures,Capital,Is Named From Capital,Valid As Home Country For Separatists,Primary Unit Color,Secondary Unit Color,Tertiary Unit Color
サルデーニャ＝ピエモンテ,#7592A7,承認国,王国,,,北イタリア,ピエモンテ,True,,,,
両シチリア,#49984C,承認国,王国,,,南イタリア,カンパニア,False,,,,
トリエステ,#D0682C,承認国,公国,,,北イタリア,イストリア,False,,,,
トスカーナ,#546088,承認国,公国,,,北イタリア,トスカーナ,True,,,,
ヴェネツィア,#B40C01,承認国,公国,,,北イタリア,ヴェネツィア,True,,,,
ボヘミア,#A18B28,承認国,公国,,,チェコ,ボヘミア,True,,,,
クラクフ,#8AC1E7,承認国,都市国家,,,ポーランド,西ガリツィア,False,,,,
クリミア,#C8CA55,非承認国家,公国,,,タタール,クリミア,True,,,,
エストニア,#638999,承認国,公国,,,エストニア,タリン,False,,,,
ハンガリー,#98555C,承認国,王国,,,ハンガリー,ハンガリー大平原,False,,#AA7553,#C6C4CF,#141414
リトアニア,#9A4574,承認国,公国,,,リトアニア,リトアニア,False,,,,
ラトビア,#6D1D50,承認国,公国,,,ラトビア,南リボニア,False,,,,
ポーランド,#C55C6A,承認国,王国,,,ポーランド,ワルシャワ,False,,,,
ガリツィア・ロドメリア,#0D5182,承認国,公国,,,"ポーランド, ウクライナ",東ガリツィア,False,,,,
スロバキア,#9EA1BC,承認国,公国,,,スロバキア,スロバキア,False,,,,
スイス,#A52D26,承認国,王国,,プロテスタント,"アレマン, フランコ・プロヴァンサル",西スイス,False,,,,
トランシルヴァニア,#D3CFAD,承認国,公国,,,"ゼクラー, ハンガリー, ルーマニア, 南ドイツ",南トランシルヴァニア,False,,,,
ウクライナ,#3E5AF0,承認国,王国,,,ウクライナ,キーウ,False,,,,
チェコスロバキア,#2B59CA,承認国,王国,,,"チェコ, スロバキア",ボヘミア,False,,,,
アルバニア,#B5486A,承認国,公国,,,アルバニア,アルバニア,True,,,,
ボスニア・ヘルツェゴヴィナ,#F0A782,承認国,公国,,,ボスニア,ボスニア,True,,,,
ブルガリア,#746B8C,承認国,王国,,,ブルガリア,ブルガリア,False,,,,
クレタ,#A56F9F,承認国,公国,,,ギリシャ,クレタ,True,,,,
クロアチア,#FF7EF2,承認国,王国,,,クロアチア,クロアチア,True,,,,
キプロス,#4E4B27,承認国,公国,,,ギリシャ,キプロス,True,,,,
ギリシャ,#7AB4D2,承認国,王国,,,ギリシャ,アッティカ,False,,,,
イオニア諸島,#998D75,承認国,公国,,,ギリシャ,イオニア諸島,True,,,,
モルダヴィア,#889D17,承認国,公国,,,ルーマニア,モルダヴィア,True,,,,
モンテネグロ,#276C8C,承認国,公国,,,セルビア,モンテネグロ,True,,,,
ルーマニア,#1560B2,承認国,王国,,,ルーマニア,ワラキア,False,BlockPropertyNode: valid_as_home_country_for_separatists = { 1 children } at [14626..14681),,,
セルビア,#A64839,承認国,王国,,,セルビア,西セルビア,False,,,,
スロベニア,#415B7E,承認国,公国,,,スロベニア,スロベニア,True,,,,
トルコ,#AACEA2,承認国,帝国,,,トルコ,東トラキア,False,,,,
ワラキア,#A17E80,承認国,公国,,,ルーマニア,ワラキア,True,,,,
ユーゴスラビア,#323C64,承認国,帝国,,,"セルビア, クロアチア, スロベニア, ボスニア, ブルガリア",西セルビア,False,,,,
休戦オマーン,#717060,非承認国家,公国,,,ベドウィン,休戦海岸,True,,,,
アフガニスタン,#5C9498,非承認国家,王国,,,"パシュトゥーン, タジク",カブリスタン,False,,,,
アルメニア,#803F80,承認国,王国,,,アルメニア,アルメニア,True,,,,
ダゲスタン,#38AC20,承認国,王国,,,北カフカース,ダゲスタン,True,,,,
アゼルバイジャン,#AC3820,承認国,王国,,,アゼルバイジャン,バクー,True,,,,
ブハラ,#9352AD,非承認国家,公国,,,ウズベク,ウズベキスタン,False,,,,
ジョージア,#D22D2D,承認国,王国,,,ジョージア,チフリス,True,,,,
ヒジャーズ,#79E5D7,非承認国家,公国,,スンナ派,ベドウィン,ヒジャーズ,False,,,,
イラク,#7A846E,非承認国家,王国,,,マシュリク,バグダード,False,,,,
ヒヴァ,#BC7B67,非承認国家,公国,,,ウズベク,ホラスミア,False,,,,
コーカンド,#778291,非承認国家,公国,,,キルギス,フェルガナ,False,,,,
カザフスタン,#6E96BE,非承認国家,王国,,,カザフ,セミパラチンスク,False,,,,
ヒンドゥスターン,#216030,非承認国家,帝国,イギリス領インドのカースト制度,スンナ派,ヒンドゥスターン,デリー,False,,,,
ナジュド,#D1DB74,非承認国家,公国,,,ベドウィン,ナジュド,True,,,,
オマーン,#628699,非承認国家,王国,,イバード派,ベドウィン,オマーン,True,,,,
ペルシア,#3C96E6,非承認国家,帝国,,,ペルシア,エラクエ・アジャミ,False,,,,
ジャバル・シャンマル,#B73E3E,非承認国家,公国,,,ベドウィン,ハーイル,False,,,,
イエメン,#FFBFBF,非承認国家,王国,,,"イエメン, ベドウィン",イエメン,True,,,,
マフラ,#00994C,非承認国家,公国,,,"ベドウィン, イエメン",イエメン,False,,,,
カスィーリー,#4F9840,非承認国家,公国,,,"ベドウィン, イエメン",イエメン,False,,,,
アザル,#994C00,非承認国家,公国,,,"イエメン, ベドウィン",イエメン,False,,,,
ラヒジュ,#D12929,非承認国家,公国,,スンナ派,"ベドウィン, イエメン",イエメン,False,,,,
バーレーン,#A93333,非承認国家,公国,,,ベドウィン,休戦海岸,False,,,,
インド,#964DF0,非承認国家,帝国,,,"マラーター, ビハール, タミル, オリア, グジャラート",デリー,False,,,,
アワド,#7AB361,非承認国家,公国,イギリス領インドのカースト制度,シーア派,アワディー,アウド,False,,,,
バスタール,#1532D4,非承認国家,公国,イギリス領インドのカースト制度,,"ゴーンディー, テルグ",中央州,False,,,,
バローダ,#F58B7F,非承認国家,公国,イギリス領インドのカースト制度,,"グジャラート, マラーター",グジャラート,False,,,,
ボーパール,#9A8123,非承認国家,公国,イギリス領インドのカースト制度,,"マラーター, パサン",マールワー,False,,,,
ビーカーネール,#FFD0AA,非承認国家,公国,,,ラージプート,ラージプーターナー,False,,,,
オーチャ,#17728F,非承認国家,公国,イギリス領インドのカースト制度,,ブンデールカンド,ブンデールカンド,False,,,,
グワーリヤル,#99ED91,非承認国家,公国,イギリス領インドのカースト制度,,"マラーター, ブンデールカンド",マールワー,False,,,,
ハイデラバード,#598D8C,非承認国家,公国,イギリス領インドのカースト制度,,ダッキニー,ハイデラバード,True,,,,
ベンガル,#246DC2,非承認国家,王国,,,ベンガル,東ベンガル,False,,,,
インドール,#80AA3F,非承認国家,公国,イギリス領インドのカースト制度,,マラーター,マールワー,False,,,,
ドゥンダル,#4F59B6,非承認国家,公国,イギリス領インドのカースト制度,,ラージプート,ラージプーターナー,False,,,,
ジャイサルメール,#638999,非承認国家,公国,イギリス領インドのカースト制度,,ラージプート,ラージプーターナー,False,,,,
マールワール,#68CF8C,非承認国家,公国,イギリス領インドのカースト制度,,ラージプート,ラージプーターナー,False,,,,
カラート,#6162C3,非承認国家,公国,,,バローチ,バルーチスターン,False,,,,
カシミール,#3F961E,非承認国家,公国,,,カシミール,カシミール,False,,,,
カッチ,#A3424A,非承認国家,公国,イギリス領インドのカースト制度,,グジャラート,グジャラート,False,,,,
ラダック,#31AFBF,非承認国家,公国,,,チベット,カシミール,False,,,,
マクラン,#DB92A2,非承認国家,公国,,,バローチ,バルーチスターン,False,,,,
メーワール,#8B8316,非承認国家,公国,イギリス領インドのカースト制度,,ラージプート,ラージプーターナー,False,,,,
マイソール,#ECF2F3,非承認国家,公国,イギリス領インドのカースト制度,,カンナダ,マイソール,True,,,,
ナーグプル,#78948C,非承認国家,公国,イギリス領インドのカースト制度,,マラーター,中央州,True,,,,
ネパール,#89B77C,非承認国家,王国,,,ネパール,西ヒマラヤ,False,,,,
オリッサ,#D26A2F,非承認国家,王国,,,オリア,オリッサ,True,,,,
潘,#FF7722,非承認国家,王国,,,パンジャーブ,パンジャーブ,True,,,,
シッキム,#8B8AA0,非承認国家,公国,,,チベット,東ヒマラヤ,False,,,,
シンド,#876855,非承認国家,公国,,,シンド,シンド,True,,,,
トラヴァンコール,#86A675,非承認国家,公国,イギリス領インドのカースト制度,,マラヤーラム,マラバル,True,,,,
アチェ,#49984C,非承認国家,公国,,,スマトラ,アチェ,True,,,,
バリ,#C9614A,非承認国家,公国,,,"バリ, モルッカ",スンダ列島,False,,,,
ブータン,#5DB44C,非承認国家,公国,,,チベット,東ヒマラヤ,False,,,,
蘭芳,#8D59AE,非承認国家,公国,,,客家,西ボルネオ,False,,,,
ブルネイ,#2959AE,非承認国家,公国,,,ボルネオ,北ボルネオ,False,,,,
ビルマ,#6DA87F,非承認国家,王国,,,ビルマ,マンダレー,False,,,,
カンボジア,#7FB43C,非承認国家,王国,,,クメール,カンボジア,False,,,,
中国,#FCB93D,非承認国家,帝国,,,"満州, 漢",北京,False,,,,
ベトナム,#88755A,非承認国家,王国,,儒教,ベトナム,アンナム,False,,,,
ジャワ,#A4D97F,非承認国家,公国,,,ジャワ,西ジャワ,True,,,,
朝鮮,#9D9061,非承認国家,王国,,,朝鮮,京畿,False,,,,
ラオス,#BC0F2D,非承認国家,王国,,,ラオス,ラオス,True,,,,
ルアンパバーン,#5D9358,非承認国家,公国,,,ラオス,ラオス,False,,,,
チャンパーサック,#4B7063,非承認国家,公国,,,ラオス,ラオス,False,,,,
ヴィエンチャン,#97AE1C,非承認国家,公国,,,ラオス,ラオス,False,,,,
ジョホール,#A59750,非承認国家,公国,,,マレー,マラヤ,False,,,,
シャム,#5889AC,非承認国家,王国,,,タイ,バンコク,False,,,,
チェンマイ,#1110CB,非承認国家,公国,,,"タイ, シャン",チェンマイ,False,,,,
チベット,#417FBA,非承認国家,王国,,,チベット,ラサ,False,,,,
モンゴル,#FFE07C,非承認国家,王国,,,モンゴル,ウルガ,False,,,,
心,#FFEAAE,非承認国家,王国,,,ウイグル,タリム盆地,False,,,,
フィリピン,#5C577A,植民地国家,王国,,,"フィリピン・メスティーソ, タガログ, イロカノ, ビサヤ",ルソン,False,,,,
満州,#FFFE7C,非承認国家,王国,,,満州,南吉林,True,,,,
カリフォルニア,#90B56A,承認国,公国,,,"ヤンキー, メキシコ",カリフォルニア,False,,,,
カナダ,#71353F,植民地国家,王国,,,"イギリス系カナダ, フランス・カナダ",オンタリオ,False,,,,
チェロキー,#699128,非承認国家,公国,,,チェロキー,アーカンソー,False,,,,
コロンビア,#C67185,植民地国家,公国,,,イングランド,北コロンビア,False,,,,
コスタリカ,#CF483C,承認国,公国,,,中央アメリカ,コスタリカ,True,,,,
キューバ,#57C0CC,植民地国家,公国,,,カリベニョ,西キューバ,True,,,,
デザレット,#7D5C6E,承認国,公国,,,"ヤンキー, ディキシー",ユタ,False,,,,
サントドミンゴ,#5DC27A,承認国,公国,,,"カリベニョ, アフリカ系カリベニョ",サント・ドミンゴ,True,,,,
エルサルバドル,#002F5E,承認国,公国,,,中央アメリカ,サンサルバドル,True,,,,
グアテマラ,#73C2FB,承認国,公国,,,中央アメリカ,グアテマラ,True,,,,
ロスアルトス,#73FBC2,承認国,公国,,,中央アメリカ,グアテマラ,False,,,,
ハイチ,#8BB3CF,承認国,公国,,,アフリカ系アンティル,ハイチ,False,,,,
アンティル連邦,#73ECFA,承認国,王国,,,"カリベニョ, アフリカ系カリベニョ",サント・ドミンゴ,False,,,,
メキシコ,#388F35,承認国,王国,,,メキシコ,メキシコ,True,,,,
メティス,#DDBAA3,非承認国家,公国,,,メティス,マニトバ,False,,,,
ホンジュラス,#EBF0F7,承認国,公国,,,中央アメリカ,ホンジュラス,True,,,,
ニューイングランド,#A6E055,承認国,大公国,,,ヤンキー,マサチューセッツ,False,,,,
ニューファンドランド,#FFD338,植民地国家,公国,,,イギリス系カナダ,ニューファンドランド,True,,,,
ニカラグア,#2258BA,承認国,公国,,,中央アメリカ,ニカラグア,True,,,,
パナマ,#96553D,承認国,公国,,,中央アメリカ,パナマ,True,,,,
ケベック,#C28C56,植民地国家,公国,,,フランス・カナダ,ケベック,True,,,,
ハドソン湾会社,#635B45,植民地国家,公国,,,イギリス系カナダ,マニトバ,False,,,,
オンタリオ,#88485B,植民地国家,公国,,,イギリス系カナダ,オンタリオ,True,,,,
ニューブランズウィック,#EBC480,植民地国家,公国,,,"イギリス系カナダ, フランス・カナダ",沿海州,False,,,,
ノバスコシア,#94CD87,植民地国家,公国,,,イギリス系カナダ,沿海州,False,,,,
テキサス,#042768,承認国,公国,,,ディキシー,テキサス,True,,,,
中央アメリカ,#5AAFFF,承認国,王国,,,中央アメリカ,サンサルバドル,False,,,,
アルゼンチン,#6566A3,承認国,王国,,,プラティニア,ブエノスアイレス,False,,,,
ボリビア,#DBB6B6,承認国,王国,,,南アンデス,ラパス,False,,,,
ブラジル,#269B53,承認国,帝国,,,ブラジル,リオデジャネイロ,False,,,,
チリ,#EC9F59,承認国,王国,,,南アンデス,サンティアゴ,False,,,,
コロンビア,#FFEAA8,承認国,王国,,,北アンデス,クンディナマルカ,False,,,,
エクアドル,#2B8DAC,承認国,公国,,,北アンデス,エクアドル,True,,,,
ペルー,#7C8CA2,承認国,王国,,,南アンデス,リマ,False,,,,
パラグアイ,#B12C1D,承認国,公国,,,"プラティニア, グアラニー",バホ・パラグアイ,False,,,,
ウルグアイ,#836555,承認国,公国,,,プラティニア,ウルグアイ,True,,,,
ベネズエラ,#FFB08C,承認国,王国,,,北アンデス,ミランダ,False,,,,
イスラエル,#96D4D6,植民地国家,公国,,ユダヤ教,"アシュケナージ, セファルディム",パレスチナ,False,,,,
ビザンツ,#9352AD,承認国,帝国,,,ギリシャ,東トラキア,False,BlockPropertyNode: valid_as_home_country_for_separatists = { 1 children } at [33376..33431),,,
アイスランド,#3E819B,承認国,公国,,,アイスランド,アイスランド,True,,,,
アラビア,#426F13,非承認国家,帝国,,,"マシュリク, ベドウィン, ミスル, イエメン",ヒジャーズ,False,,,,
バルト連合州,#8E8C54,承認国,大公国,,,"ラトビア, エストニア, リトアニア",南リボニア,False,,,,
ベラルーシ,#ACAAAA,承認国,王国,,,白ロシア,ミンスク,False,,,,
ポーランド＝リトアニア,#DB1F3E,承認国,帝国,,,"ポーランド, リトアニア",西ガリツィア,False,,,,
大コロンビア,#FFF464,承認国,帝国,,,北アンデス,クンディナマルカ,False,,,,
ヤンマイエン,#11E130,承認国,都市国家,,,ノルウェー,北ノルウェー,False,,,,
東インド,#BC713D,植民地国家,公国,イギリス領インドのカースト制度,,イングランド,西ベンガル,False,,,,
ブルターニュ,#D7C3E1,承認国,公国,,,ブルトン,ブルターニュ,True,,,,
マプチェ,#C4190A,分権型国家,公国,,,パタゴニア,パタゴニア,False,,,,
テウェルチェ,#397C8A,分権型国家,公国,,,パタゴニア,パタゴニア,False,,,,
セルクナム,#7A0E34,分権型国家,公国,,,パタゴニア,アラウカニア,False,,,,
トンガ,#4526A2,分権型国家,公国,,,ポリネシア,トンガ,False,,,,
西インド諸島,#329632,承認国,王国,,,アフリカ系カリブ,西インド諸島,False,,,,
マヤ,#62588E,非承認国家,王国,,,マヤ,ユカタン,False,,,,
イベリア,#FAB500,承認国,帝国,,,"スペイン, ポルトガル",新カスティーリャ,False,,,,
オレゴン,#8A507E,植民地国家,公国,,,"ヤンキー, イギリス系カナダ",オレゴン,False,,,,
コマンチェ,#603913,分権型国家,公国,,,コマンチェ,テキサス,False,,,,
インディアン準州,#567875,非承認国家,公国,,,"チェロキー, スー",オクラホマ,False,,,,
ダコタ,#440E62,分権型国家,公国,,,ダコタ,ミネソタ,False,,,,
ラコタ,#C672A8,分権型国家,公国,,,ダコタ,サウスダコタ,False,,,,
ナバホ,#7EB49A,分権型国家,公国,,,ナバホ,アリゾナ,False,,,,
アラパホ,#DFCC7D,分権型国家,公国,,,スー,コロラド,False,,,,
ニミプー,#DCBE32,分権型国家,公国,,,ネズ・パース,アイダホ,False,,,,
アブサロカ,#C76616,分権型国家,公国,,,スー,モンタナ,False,,,,
鉄の連合,#3D9E7C,分権型国家,公国,,,"クリー, スー",サスカチュワン,False,,,,
ジャマイカ,#31540A,承認国,公国,,,アフリカ系カリブ,ジャマイカ,False,,,,
バハマ,#00778C,承認国,公国,,,アフリカ系カリブ,バハマ,True,,,,
プエルトリコ,#685C57,植民地国家,公国,,,カリベニョ,ポルトリコ,True,,,,
ミスキティア,#3D9999,非承認国家,公国,,,"ミスキート, アフリカ系カリブ",ニカラグア,False,,,,
アナワク,#008416,非承認国家,公国,,,"ナワ, ミシュテカ, サポテカ, タラスカ",メキシコ,False,,,,
グリーンランド,#1A842C,承認国,公国,,,"デンマーク, イヌイット",グリーンランド,True,,,,
アンダルシア,#F0E69B,承認国,公国,,,スペイン,下アンダルシア,True,,,,
カスティーリャ,#C6B241,承認国,王国,,,スペイン,新カスティーリャ,True,,,,
サーミ,#1C9288,非承認国家,都市国家,,,サーミ,北ノルウェー,False,,,,
マルタ,#1C9288,承認国,都市国家,,,マルタ,マルタ,False,,,,
ペルミ,#EC9F5A,非承認国家,公国,,,ウゴル,ペルミ,False,,,,
ハザーラジャート,#EC9F5A,非承認国家,公国,,,ハザーラ,ハザリスタン,False,,,,
トルクメニスタン,#A575D0,承認国,公国,,,トルクメン,トルクメン,False,,,,
シベリア,#8B8AA0,非承認国家,王国,,,"ヤクート, シベリア, イヌイット, ブリヤート",トムスク,False,,,,
ヤクート,#83B083,非承認国家,公国,,,ヤクート,ヤクーツク,False,,,,
アッサム,#A3054D,非承認国家,公国,イギリス領インドのカースト制度,ヒンドゥー教,アッサム,アッサム,False,,,,
マニプル,#95BF75,非承認国家,公国,イギリス領インドのカースト制度,,マニプル,アッサム,False,,,,
トバ,#B78D01,非承認国家,公国,,,バタク,北スマトラ,False,,,,
カリマンタン,#C1A48E,非承認国家,公国,,,"ボルネオ, ダヤク",西ボルネオ,False,,,,
ハンターワディー,#8CD2A0,非承認国家,公国,,,モン,ペグー,False,,,,
カレン,#489963,非承認国家,公国,,,カレン,ペグー,False,,,,
クム,#F4EDCA,非承認国家,公国,,,クム,ラオス,False,,,,
カチン,#82BAC6,非承認国家,公国,,,カチン,サガイン,False,,,,
アイヌモシリ,#C9C57C,分権型国家,公国,,,アイヌ,北海道,False,,,,
蝦夷,#812893,非承認国家,公国,,,"日本, アイヌ",北海道,False,,,,
黔,#0067A5,非承認国家,公国,,,ミャオ,広東西部,False,,,,
台湾,#DAEA0F,非承認国家,公国,,,ビン,台湾,True,,,,
尹,#F5F5DC,非承認国家,公国,,,李,雲南,True,,,,
粤,#5971DF,非承認国家,公国,,,粤,広東西部,False,,,,
オアハカ,#9E7678,分権型国家,公国,,,"サポテカ, ミシュテカ",オアハカ,False,,,,
ミチョアカン,#9E1214,分権型国家,公国,,,タラスカ,ハリスコ,False,,,,
タワンティンスウユ,#7D5C6E,非承認国家,王国,,,ケチュア,リマ,False,,,,
アイマラ,#ADD3EF,非承認国家,公国,,,アイマラ,ラパス,False,,,,
ワユー,#286041,分権型国家,公国,,,グアヒロ,アンティオキア,False,,,,
トゥピナンバ,#9DD1C0,分権型国家,公国,,,トゥピナンバ,バイーア,False,,,,
プエブロ,#A28008,非承認国家,公国,,,プエブロ,ニューメキシコ,False,,,,
ヌナブト,#CDD6D8,非承認国家,公国,,,イヌイット,ヌナブト,False,,,,
ナヴァホランド,#7EB49A,分権型国家,公国,,,ナバホ,アリゾナ,False,,,,
アサバスカ,#586989,分権型国家,公国,,,アサバスカ,ノースウェスト準州,False,,,,
カスカディア,#699849,分権型国家,公国,,,セイリッシュ,北コロンビア,False,,,,
ホデノショニ,#57B650,承認国,公国,,,イロコイ,ニューヨーク,False,,,,
三火評議会,#DC9325,分権型国家,公国,,,アルゴンキン,ミシガン,False,,,,
サリッシュ,#3298AD,分権型国家,公国,,,セイリッシュ,モンタナ,False,,,,
パンナクワティ,#813807,分権型国家,公国,,,パイユート,アイダホ,False,,,,
マスコギー,#6C8BD0,非承認国家,公国,,,マスコギ,フロリダ,False,,,,
ヤットセミノーリ,#925F6B,分権型国家,公国,,,マスコギ,フロリダ,False,,,,
ウテ,#EB7EAF,分権型国家,公国,,,パイユート,ユタ,False,,,,
パウニー,#FC5476,分権型国家,公国,,,カド,ネブラスカ,False,,,,
アパッチ,#C69E6D,分権型国家,公国,,,アパッチ,ニューメキシコ,False,,,,
ニイトシタピ,#304799,分権型国家,公国,,,スー,アルバータ,False,,,,
オオダム国,#9CAA42,分権型国家,公国,,,オオダム,チワワ,False,,,,
オリノコ,#377719,分権型国家,公国,,,カリブ,ミランダ,False,,,,
ムイスカ,#A2B640,分権型国家,公国,,,ムイスカ,クンディナマルカ,False,,,,
ソルビア,#435080,承認国,公国,,,ソルブ,ザクセン,False,,,,
ユカタン,#148E14,承認国,公国,,,メキシコ,ユカタン,False,,,,
リオ・グランデ,#141414,承認国,公国,,,メキシコ,リオ・グランデ,False,,,,
ピラティニ,#269B26,承認国,公国,,,スリスタ,リオグランデ・ド・スル,False,,,,
スリランカ,#9B2E2E,非承認国家,公国,,,シンハラ,セイロン,False,,,,
バルチスタン,#7D2F2F,非承認国家,王国,,,バローチ,バルーチスターン,False,,,,
北ドイツ連邦,#292525,承認国,王国,,,北ドイツ,ブランデンブルク,False,,,,
南ドイツ連邦,#B01207,承認国,王国,,,南ドイツ,バイエルン,False,,,,
オクシタニア,#6532FD,承認国,公国,,,オック,ラングドック,False,,,,
トゥバ,#44F2EC,非承認国家,公国,,,トゥバ,トゥバ,False,,,,
コルシカ,#44F2EC,承認国,公国,,,コルシカ,コルシカ,False,,,,
ツングース,#0B7327,非承認国家,公国,,,シベリア,上エニセイスク,False,,,,
極東,#931919,非承認国家,公国,,,"シベリア, イヌイット",チタ,False,,,,
イデル＝ウラル,#0B7327,承認国,王国,,,"タタール, バシキール, ウドムルト, マリ, チュヴァシ, モルドビン",カザン,False,,,,
