|~ |~国名|タグ|h
||~スルグジャ|SUR|
||~リーワー|BAG|
||~オーチャ|BUN|
||~アワド|AWA|
||~パティアーラ|PTA|
||~ダラムプル|DHA|
||~バローダ|BER|
||~イダール|IDA|
||~バーオナガル|BHV|
||~ジュナガド|JUN|
||~パランプル|PLP|
||~ナワナガル|NAW|
||~ボーパール|BHO|
||~ビーカーネール|BIK|
||~グワーリヤル|GWA|
||~アルワル|ALW|
||~コーター|KOT|
||~ビハール|BIH|
||~アラカン|ARK|
||~ザンジバル|ZAN|
||~クワラ|QWR|
||~ティグライ|TGR|
||~ウェロー|WLO|
||~ベゲムデル|BGM|
||~ゴジャム|GJM|
||~ムアン・プアン|MPH|
||~アラスカ|ALK|
||~バナト|BNT|
||~アラゴン|ARN|
||~レオン|LEO|
||~アストゥリアス|ASU|
||~トルキスタン|TRH|
||~フェザーン|FZN|
||~キレナイカ|CYR|
||~リビア|LBY|
