Tag,States,Provinces,Use Culture States,Required States Num,AI Will Do,Possible
ポーランド,"プウォツク, ワルシャワ, ルブリン, 西ガリツィア, ポーゼン, 西プロイセン, 上シレジア",,False,3,BlockPropertyNode: ai_will_do = { 1 children } at [4161..4189),
ウクライナ,"東ガリツィア, オデッサ, ヴォルィーニ, キーウ, アレクサンドロフスク, ハルキウ, クリミア, チェルニヒウ",,False,3,BlockPropertyNode: ai_will_do = { 1 children } at [4359..4387),
ガリツィア・ロドメリア,"東ガリツィア, 西ガリツィア, ブコヴィナ",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [4494..4522),
ハンガリー,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [4588..4616),
ルーマニア,,,True,3,BlockPropertyNode: ai_will_do = { 1 children } at [4682..4710),
ボヘミア,"ボヘミア, モラヴィア, 上シレジア",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [4812..4840),
クロアチア,"クロアチア, スラヴォニア, ダルマチア",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [4944..4972),
スロバキア,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [5012..5040),
ヴェネツィア,ヴェネツィア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [5082..5110),
ロンバルディア,ロンバルディア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [5153..5181),
ベラルーシ,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [5248..5276),
クレタ,クレタ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [5316..5344),
ポメラニア,ポメラニア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [5388..5416),
アンハルト,アンハルト,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [5457..5485),
ナッサウ,,"x3E794B, x90C0A0, x1357DB",False,,BlockPropertyNode: ai_will_do = { 1 children } at [5540..5568),
ヘッセン,ヘッセ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [5608..5636),
ヴェストファーレン,"ヴェストファーレン, 北ライン, ルール",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [5743..5771),
プロイセン,"ブランデンブルク, ポメラニア, 西プロイセン, 東プロイセン, 下シレジア, 上シレジア, ポーゼン",,False,3,BlockPropertyNode: ai_will_do = { 1 children } at [5964..5992),
日本,,,True,3,BlockPropertyNode: ai_will_do = { 1 children } at [6058..6086),
ロシア,,,True,5,BlockPropertyNode: ai_will_do = { 1 children } at [6152..6180),
中国,,,True,5,BlockPropertyNode: ai_will_do = { 1 children } at [6246..6274),
ベトナム,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [6314..6342),
ジャワ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [6382..6410),
朝鮮,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [6450..6478),
ラオス,ラオス,,False,1,BlockPropertyNode: ai_will_do = { 1 children } at [6543..6571),
ヴィエンチャン,ラオス,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [6610..6638),
チェンマイ,チェンマイ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [6683..6711),
チベット,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [6751..6779),
モンゴル,"ウリヤスタイ, ウルガ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [6838..6866),
満州,"南吉林, 南黒竜江, 北吉林, 盛京, 北黒竜江",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [7004..7032),
心,"ジュンガリア, タリム盆地, イリ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [7104..7132),
ハイチ,ハイチ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [7172..7200),
サントドミンゴ,サント・ドミンゴ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [7248..7276),
アンティル連邦,"中央キューバ, 西キューバ, 東キューバ, ポルトリコ, サント・ドミンゴ",,False,4,BlockPropertyNode: ai_will_do = { 1 children } at [7425..7453),
西インド諸島,"西インド諸島, ジャマイカ",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [7544..7572),
マヤ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [7612..7640),
カタルーニャ,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [7706..7734),
スペイン,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [7800..7828),
エルサルバドル,サンサルバドル,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [7875..7903),
グアテマラ,グアテマラ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [7947..7975),
ロスアルトス,,"xD9BEFE, x78C465, xBD8628",False,,BlockPropertyNode: ai_will_do = { 1 children } at [8031..8059),
ニカラグア,ニカラグア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8103..8131),
ホンジュラス,ホンジュラス,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8174..8202),
コスタリカ,コスタリカ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8247..8275),
フランクフルト,,x11C0A0,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8314..8342),
リューベック,,x60809F,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8381..8409),
ハンブルク,,x587297,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8448..8476),
ブレーメン,,"xC08061, x68BE66",False,,BlockPropertyNode: ai_will_do = { 1 children } at [8523..8551),
キューバ,"西キューバ, 中央キューバ, 東キューバ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8643..8671),
プエルトリコ,ポルトリコ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8717..8745),
ジャマイカ,ジャマイカ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8787..8815),
バハマ,バハマ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [8857..8885),
フィリピン,"ミンダナオ, ルソン, ビサヤ",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [8985..9013),
プエブロ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [9052..9080),
アナワク,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [9119..9147),
グリーンランド,グリーンランド,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [9193..9221),
アイヌモシリ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [9261..9289),
アンダルシア,"下アンダルシア, 上アンダルシア",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [9365..9393),
カスティーリャ,"旧カスティーリャ, 新カスティーリャ, ムルシア",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [9477..9505),
カナダ,,,True,4,BlockPropertyNode: ai_will_do = { 1 children } at [9571..9599),
ケベック,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [9639..9667),
ニューブランズウィック,,"xC91FD7, xEE2FFF, x5A0CA8, x71A015, x326F36, xF01C37, x70A0CE, x484A09, x082153, x62FC6A, xDE0FD5, xBB0F05, x7040C0, x4D9EEE, x8ED253, xD090A6, x20CF66, x66DFE7, x493CD4, x740012, x8E553E, x70C040",False,,BlockPropertyNode: ai_will_do = { 1 children } at [9877..9905),
ノバスコシア,,"x085C83, xEC5B4B, x406FBA, xC060C0, xE4892F, x99CA75, x380F20, xB95DB3, x905458, x8060C0, x80AA26, x6B5822, xCA0399, x63E1C4, xF95D47, x8CFA32, xEAFA99, xF04040",False,,BlockPropertyNode: ai_will_do = { 1 children } at [10083..10111),
オーストラリア,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [10151..10179),
ニュージーランド,"北島, 南島",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [10250..10278),
ユカタン,ユカタン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [10323..10351),
リオ・グランデ,,"x00879A, x00B001, x059C97, x08C98F, x0DA7FA, x0F59F0, x1B9AEE, x1BD480, x1C58D1, x1CC654, x20360A, x2F16DF, x304ACD, x41A909, x4C9B4D, x4EE20D, x4FF638, x50EF80, x54B95F, x592CDF, x59E37B, x60385F, x654D48, x6EDB2C, x766F08, x7B177A, x7F00A8, x8030C0, x80B080, x9486AD, x9C099B, x9F69AD, xA164AB, xA20ABD, xA98620, xA995BC, xB13782, xB65993, xBA8759, xBCFFF7, xC03001, xC1EF57, xC202B5, xC68684, xCAEB7A, xD51E89, xD69138, xDCEE0B, xDDC3A9, xDDE205, xDEEEB0, xE1E8AB, xE4E032, xE86EA3, xEA81D3, xF468A1, xF53F63, xF9A35E, xFC72E1, xFEC6A5, x3751A7, x24C127, x10CA7B, x951736, x871357, xD08070, xB9118E, xC9D330, x5D3843, x2DA551, x760779, x4E19F4, x6958D6, x6E8169, xBB8A78, x0E125F, x90CE2B, x860F5A, x0D192D, x6BB536, xA55E5C, xB16A3C, x8EBCC7, x94A617, x18F9D5, x03FDD9, xE222E2, xDB3E39, x27C614, xE3F481, x08F331, x3DAE0A, xC7ED1C, xFDD38C, xD206BC, x0030C0, xED08F5, xA3A810, x91A02C",False,,BlockPropertyNode: ai_will_do = { 1 children } at [11214..11242),
ピラティニ,リオグランデ・ド・スル,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [11388..11416),BlockPropertyNode: possible = { 1 children } at [11297..11385)
スリランカ,セイロン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [11460..11488),
ニューイングランド,"マサチューセッツ, ニューハンプシャー, メイン, コネチカット, ロードアイランド, バーモント",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [11632..11660),
パナマ,パナマ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [11704..11732),
タワンティンスウユ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [11772..11800),
アイマラ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [11840..11868),
ホデノショニ,,"x195b49, x8c059d, xe217b5, x70c080, x2ca754, x4b0747, xb343e6, x308000, x38c881, x01d042, xe7be2d, xa6bed5, xedc7da, x3cb274, x235e9f, xa7b5fe, x42d496, xb00080, x05187e, x9484f3, xec2eaa, x73a16c, xfcf1be, x99cb10",False,,BlockPropertyNode: ai_will_do = { 1 children } at [12094..12122),
テキサス,テキサス,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [12165..12193),
ワロン,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [12233..12261),
マルタ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [12301..12329),
フランドル,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [12369..12397),
ヌナブト,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [12437..12465),
ニューファンドランド,ニューファンドランド,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [12515..12543),
サーミ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [12583..12611),
イギリス,,,True,6,BlockPropertyNode: ai_will_do = { 1 children } at [12677..12705),
ボスニア・ヘルツェゴヴィナ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [12745..12773),
南アフリカ,"北ケープ, 東ケープ, ケープ植民地",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [12865..12893),
ブルガリア,"ブルガリア, 北トラキア, ドブロジャ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [12980..13008),
オクシタニア,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [13049..13077),
イラク,"バグダード, モースル, バスラ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13149..13177),
キプロス,キプロス,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13221..13249),
トゥバ,トゥバ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13290..13318),
コルシカ,コルシカ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13362..13390),
ヤクート,"ヤクーツク, コルィマ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13449..13477),
ツングース,上エニセイスク,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13529..13557),
極東,"オホーツク, カムチャツカ, チュクチ, 北吉林, 北黒竜江, サハリン, チタ, ブリヤーティア",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13728..13756),
イデル＝ウラル,"カザン, ウファ, サマーラ, チェリャビンスク, チェボクサル",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13863..13891),
ハンティ・マンシ,"スルグト, オビ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [13945..13973),
ウラル,"ウラル, チェリャビンスク, ペルミ, ウファ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14059..14087),
アルタイ,アルタイ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14129..14157),
カザフスタン,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [14196..14224),
チュクチ,チュクチ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14269..14297),
カムチャツカ,カムチャツカ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14343..14371),
ブリヤーティア,ブリヤーティア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14416..14444),
バシキール,ウファ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14484..14512),
タタールスタン,カザン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14554..14582),
カレリア,東カレリア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14631..14659),
山岳共和国,北コーカサス,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14773..14801),BlockPropertyNode: possible = { 1 children } at [14710..14771)
ドン・コサック軍,"ロストフ, クバーニ, スタヴロポリ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [14876..14904),
ウドムルト,ヴャトカ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [15117..15145),
チュヴァシ,チェボクサル,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [15281..15309),
エルジャ・モクシャ,タンボフ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [15450..15478),
マリ・エル,チェボクサル,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [15646..15674),
シリア,"シリア, アレッポ, レバノン, パレスチナ, トランスヨルダン, デリゾール",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [15805..15833),
トランスヨルダン首長国,トランスヨルダン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [15881..15909),
レバノン,レバノン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [15953..15981),
スーダン,"青ナイル, コルドファン, ドンゴラ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [16060..16088),
メキシコ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [16127..16155),
アルジェリア,"アルジェ, コンスタンティーヌ, オラン, サハラ, 東サハラ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [16267..16295),
ユーゴスラビア,"西セルビア, 東セルビア, コソボ, スコピア, ヴォヤヴォディナ, モンテネグロ, ボスニア, スラヴォニア, ダルマチア, クロアチア, スロベニア, イストリア",,False,3,BlockPropertyNode: ai_will_do = { 1 children } at [16623..16651),BlockPropertyNode: possible = { 1 children } at [16559..16620)
ジンバブエ,ザンベジ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [16696..16724),
コロンビア,"アンティオキア, クンディナマルカ, カウカ, グアビアーレ",,False,3,BlockPropertyNode: ai_will_do = { 1 children } at [16849..16877),
トルコ,,,True,5,BlockPropertyNode: ai_will_do = { 1 children } at [16943..16971),
ダンツィヒ,,"x7CB839, x80A0A0",False,,BlockPropertyNode: ai_will_do = { 1 children } at [17021..17049),
エジプト,,,True,3,BlockPropertyNode: ai_will_do = { 1 children } at [17115..17143),
チェコスロバキア,,,True,3,BlockPropertyNode: ai_will_do = { 1 children } at [17182..17210),BlockPropertyNode: possible = { 1 children } at [17239..17300)
アルゼンチン,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [17340..17368),
ハノーファー,ハノーファー,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [17414..17442),
両シチリア,シチリア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [17486..17514),
中央アメリカ,,,True,3,BlockPropertyNode: ai_will_do = { 1 children } at [17579..17607),
スロベニア,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [17647..17675),
アルバニア,アルバニア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [17720..17748),
クルディスタン,"モースル, デリゾール, ディヤルバクル, エルズルム, ウルミア, ペルシャ・クルディスタン",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [17886..17914),BlockPropertyNode: possible = { 1 children } at [17917..17974)
ガリシア,ガリシア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [18019..18047),
イスラエル,パレスチナ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [18094..18122),BlockPropertyNode: possible = { 1 children } at [18125..18186)
パレスチナ,"パレスチナ, トランスヨルダン",,False,1,BlockPropertyNode: ai_will_do = { 1 children } at [18279..18307),BlockPropertyNode: possible = { 1 children } at [18310..18367)
シベリア,"ヤクーツク, イルクーツク, チタ, オホーツク, チュクチ, 上エニセイスク, トムスク, カムチャツカ, コルィマ, アルタイ, クラスノヤルスク, トゥバ, ブリヤーティア, オビ, スルグト, トボリスク, ウラル, チェリャビンスク",,False,4,BlockPropertyNode: ai_will_do = { 1 children } at [18718..18746),BlockPropertyNode: possible = { 1 children } at [18749..18810)
ミシガン,ミシガン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [18856..18884),BlockPropertyNode: possible = { 1 children } at [18887..18959)
カリフォルニア,カリフォルニア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [19007..19035),
アメリカ,,,True,10,BlockPropertyNode: ai_will_do = { 1 children } at [19102..19130),
ベルギー,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [19196..19224),
オランダ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [19264..19292),
ポルトガル,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [19332..19360),
バーデン,バーデン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [19402..19430),
バイエルン,"バイエルン, フランケン",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [19492..19520),
ブラウンシュヴァイク,ブラウンシュヴァイク,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [19566..19594),
ホルシュタイン,,"xBFCC21, x804160, x64824C, xE000A0",False,,BlockPropertyNode: ai_will_do = { 1 children } at [19656..19684),
シュレースヴィヒ,,"x00C060, x78B203, xE3C876",False,,BlockPropertyNode: ai_will_do = { 1 children } at [19738..19766),
ルクセンブルク,,"x5180A0, xD001A0",False,,BlockPropertyNode: ai_will_do = { 1 children } at [19811..19839),
メクレンブルク,メクレンブルク,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [19887..19915),
オルデンブルク,,"xECC3B4, xC00161, x4101E0",False,,BlockPropertyNode: ai_will_do = { 1 children } at [19969..19997),
ザクセン,ザクセン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [20040..20068),
ヴュルテンベルク,,"x118060, x100060, xC541D2, x8F0060, xDBB84C",False,,BlockPropertyNode: ai_will_do = { 1 children } at [20138..20166),
ルッカ,,xF080A0,False,,BlockPropertyNode: ai_will_do = { 1 children } at [20204..20232),
モデナ,,"xEF0021, xF08021",False,,BlockPropertyNode: ai_will_do = { 1 children } at [20278..20306),
ローマ,ラツィオ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [20348..20376),
パルマ,,"x0B3B43, x700120",False,,BlockPropertyNode: ai_will_do = { 1 children } at [20422..20450),
グラン・パラ,"パラー, アマゾナス, アクレ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [20521..20549),
サルデーニャ＝ピエモンテ,"ピエモンテ, サルデーニャ, サヴォイ",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [20651..20679),
トスカーナ,トスカーナ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [20723..20751),
クラクフ,,x906060,False,,BlockPropertyNode: ai_will_do = { 1 children } at [20789..20817),
スイス,"西スイス, 東スイス",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [20895..20923),
ギリシャ,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [20989..21017),
イオニア諸島,,"x4B79CA, x405060",False,,BlockPropertyNode: ai_will_do = { 1 children } at [21063..21091),
モルダヴィア,モルダヴィア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21136..21164),
モンテネグロ,モンテネグロ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21211..21239),
セルビア,"西セルビア, 東セルビア, コソボ, モンテネグロ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21347..21375),
休戦オマーン,休戦海岸,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21421..21449),
アフガニスタン,"カブリスタン, ヘラート, カンダハル, ハザリスタン",,False,4,BlockPropertyNode: ai_will_do = { 1 children } at [21573..21601),BlockPropertyNode: possible = { 1 children } at [21604..21665)
ブハラ,ウズベキスタン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21709..21737),
ヒジャーズ,ヒジャーズ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21780..21808),
ヒヴァ,"ホラスミア, トルクメン",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21868..21896),
コーカンド,"キルギス, タジキスタン",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [21961..21989),
ナジュド,ナジュド,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [22030..22058),
オマーン,オマーン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [22099..22127),
ペルシア,,,True,4,BlockPropertyNode: ai_will_do = { 1 children } at [22191..22219),
ジャバル・シャンマル,ハーイル,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [22260..22288),
イエメン,イエメン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [22389..22417),BlockPropertyNode: possible = { 1 children } at [22330..22387)
マフラ,,"x30A3E2, x37058f, xAD1CE2, x8D121D, x8D6307, xBDEA27, x02B35C, xA2FDFA, x6BD0A9, xB010DF, x9D6547, xA0540A",False,,BlockPropertyNode: ai_will_do = { 1 children } at [22543..22571),
カスィーリー,,"xC790E8, x299C0F, xDFA579, x346541, x90602A, x3D86FC, x75D341, x8E96A7, xDD732E, x95D64E, x5F3582, x2A9E89, xBAA208, x308FDF, xD6CC22, x1C7B77, xA05CB5, x6D2F95, x5C91FE, x3D7345, xC09525, xB8A8D2, x672267, x60DFF9, xD3F276, xA1AAB0, x843C65, x5DF9FC, x895FE6, xCF61E1, x0B9A27, xF385EB, x0C7E0C, x872CEB, x8BF4B8",False,,BlockPropertyNode: ai_will_do = { 1 children } at [22881..22909),
アザル,,"x567A83, xE5892F, x02F9FF, x7EC879, x625380, x9D8A78, xEF2E43, xBB387A, xCF6C49, x7C3EA9, xFE5027, x68B524, xE5DF3B, x1A7BB0, x2576C1, xCF401E, x49FCAB, x6290E6, xF86F58, x84FA60, x8B1488, x075453, x00E3EF, xB79DED, x9E941B, x034B03, x8436FE",False,,BlockPropertyNode: ai_will_do = { 1 children } at [23156..23184),
ラヒジュ,,"x319060, xB090E0, x2BD409, xFA0283, x657048, x54840B, x3D1674, x2975A3",False,,BlockPropertyNode: ai_will_do = { 1 children } at [23278..23306),
バーレーン,,"x505AE0, x2768F8, xEF5020",False,,BlockPropertyNode: ai_will_do = { 1 children } at [23360..23388),
バハーワルプル,,"x022D2B, xD597DC, x30122F, xCF602F, x706940, x2DBD82, x19E5C0, xEFC3B4, xCA516D, xB4E322",False,,BlockPropertyNode: ai_will_do = { 1 children } at [23498..23526),
