|||||50|65|||||35|35|35|c
|BGCOLOR(#CC5428):|~ULS|Ulster|アルスター|承認国|公国|スコットランド&br;アイルランド|プロテスタント||アルスター||解放||
|BGCOLOR(#797E94):|~WLS|Wales|ウェールズ|承認国|公国|ウェールズ|||ウェールズ||解放||
|BGCOLOR(#FCE93A):|~NAV|Navarra|ナバラ|承認国|王国|バスク|||バスク州||解放||
|BGCOLOR(#D38806):|~SPA|Spain|スペイン|承認国|王国|スペイン|||新カスティーリャ|初期|解放|形成|
|BGCOLOR(#838D8E):|~WLL|Wallonia|ワロン|承認国|公国|ワロン|||ワロン||解放||
|BGCOLOR(#CB5D7C):|~ANH|Anhalt|アンハルト|承認国|公国|北ドイツ|||アンハルト|初期|解放||
|BGCOLOR(#76E5D7):|~BAD|Baden|バーデン|承認国|大公国|南ドイツ|||バーデン|初期|解放||
|BGCOLOR(#79AFEB):|~BAV|Bavaria|バイエルン|承認国|王国|南ドイツ|||バイエルン|初期|解放||
|BGCOLOR(#745C27):|~BRA|Brunswick|ブラウンシュヴァイク|承認国|公国|北ドイツ|||ブラウンシュヴァイク|初期|解放||
|BGCOLOR(#216589):|~BRE|Bremen|ブレーメン|承認国|都市国家|北ドイツ|||エルベ|初期|解放||
|BGCOLOR(#4E8197):|~DZG|Danzig|ダンツィヒ|承認国|都市国家|北ドイツ|||西プロイセン||解放||
|BGCOLOR(#F3C921):|~FRM|Frankfurt|フランクフルト|承認国|都市国家|北ドイツ|||ヘッセ|初期|解放||
|BGCOLOR(#689447):|~HAM|Hamburg|ハンブルク|承認国|都市国家|北ドイツ|||エルベ|初期|解放||
|BGCOLOR(#A4D97F):|~HAN|Hanover|ハノーファー|承認国|王国|北ドイツ|||ハノーファー|初期|解放||
|BGCOLOR(#926C92):|~HES|Hesse|ヘッセン|承認国|大公国|北ドイツ|||ヘッセ|初期|解放||
|BGCOLOR(#DC969E):|~HOL|Holstein|ホルシュタイン|承認国|公国|北ドイツ|||シュレースヴィヒ＝ホルシュタイン|初期|解放||
|BGCOLOR(#30A433):|~LUB|Lübeck|リューベック|承認国|都市国家|北ドイツ|||シュレースヴィヒ＝ホルシュタイン|初期|解放||
|BGCOLOR(#358C49):|~LUX|Luxembourg|ルクセンブルク|承認国|大公国|ワロン&br;北ドイツ|||ワロン|初期|解放||
|BGCOLOR(#CF6F40):|~MEC|Mecklenburg|メクレンブルク|承認国|大公国|北ドイツ|||メクレンブルク|初期|解放||
|BGCOLOR(#6B5EA9):|~NAS|Nassau|ナッサウ|承認国|公国|北ドイツ|||ヘッセ|初期|解放||
|BGCOLOR(#938276):|~OLD|Oldenburg|オルデンブルク|承認国|大公国|北ドイツ|||ハノーファー|初期|解放||
|BGCOLOR(#9B93B4):|~SAX|Saxony|ザクセン|承認国|王国|北ドイツ|||ザクセン|初期|解放||
|BGCOLOR(#6FA280):|~WUR|Württemberg|ヴュルテンベルク|承認国|王国|南ドイツ|プロテスタント||ヴュルテンベルク|初期|解放||
|BGCOLOR(#926C92):|~LOM|Lombardia|ロンバルディア|承認国|公国|北イタリア|||ロンバルディア||解放||
|BGCOLOR(#72ABB8):|~LUC|Lucca|ルッカ|承認国|公国|北イタリア|||エミリア|初期|解放||
|BGCOLOR(#F1FC97):|~MOD|Modena|モデナ|承認国|公国|北イタリア|||エミリア|初期|解放||
|BGCOLOR(#D3DCB2):|~PAP|Rome|ローマ|承認国|王国|南イタリア&br;北イタリア|||ラツィオ|初期|解放||
|BGCOLOR(#80CA81):|~PAR|Parma|パルマ|承認国|公国|北イタリア|||エミリア|初期|解放||
|BGCOLOR(#80CA81):|~PRA|Grão-Pará|グラン・パラ|承認国|公国|アマゾニック|カトリック||パラー|初期|解放||
|BGCOLOR(#7592A7):|~SAR|Sardinia-Piedmont|サルデーニャ＝ピエモンテ|承認国|王国|北イタリア|||ピエモンテ|初期|解放||
|BGCOLOR(#49984C):|~SIC|Two Sicilies|両シチリア|承認国|王国|南イタリア|||カンパニア|初期|解放||
|BGCOLOR(#D0682C):|~TRE|Trieste|トリエステ|承認国|公国|北イタリア|||イストリア||解放||
|BGCOLOR(#546088):|~TUS|Tuscany|トスカーナ|承認国|公国|北イタリア|||トスカーナ|初期|解放||
|BGCOLOR(#B40C01):|~VEN|Venice|ヴェネツィア|承認国|公国|北イタリア|||ヴェネツィア||解放||
|BGCOLOR(#A18B28):|~BOH|Bohemia|ボヘミア|承認国|公国|チェコ|||ボヘミア||解放||
|BGCOLOR(#8AC1E7):|~KRA|Krakow|クラクフ|承認国|都市国家|ポーランド|||西ガリツィア|初期|解放||
|BGCOLOR(#C8CA55):|~CRI|Crimea|クリミア|非承認国家|公国|タタール|||クリミア||解放||
|BGCOLOR(#638999):|~EST|Estonia|エストニア|承認国|公国|エストニア|||タリン||解放||
|BGCOLOR(#98555C):|~HUN|Hungary|ハンガリー|承認国|王国|ハンガリー|||ハンガリー大平原|初期|解放||
|BGCOLOR(#9A4574):|~LIT|Lithuania|リトアニア|承認国|公国|リトアニア|||リトアニア||解放||
|BGCOLOR(#6D1D50):|~LAT|Latvia|ラトビア|承認国|公国|ラトビア|||南リボニア||解放||
|BGCOLOR(#C55C6A):|~POL|Poland|ポーランド|承認国|王国|ポーランド|||ワルシャワ||解放|形成|
|BGCOLOR(#0D5182):|~GAL|Galicia-Lodomeria|ガリツィア・ロドメリア|承認国|公国|ポーランド&br;ウクライナ|||東ガリツィア||解放|形成|
|BGCOLOR(#9EA1BC):|~SLV|Slovakia|スロバキア|承認国|公国|スロバキア|||スロバキア||解放||
|BGCOLOR(#A52D26):|~SWI|Switzerland|スイス|承認国|王国|アレマン&br;フランコ・プロヴァンサル|プロテスタント||西スイス|初期|解放||
|BGCOLOR(#D3CFAD):|~TRS|Transylvania|トランシルヴァニア|承認国|公国|ゼクラー&br;ハンガリー&br;ルーマニア&br;南ドイツ|||南トランシルヴァニア|初期|解放||
|BGCOLOR(#3E5AF0):|~UKR|Ukraine|ウクライナ|承認国|王国|ウクライナ|||キーウ||解放||
|BGCOLOR(#2B59CA):|~CZH|Czechoslovakia|チェコスロバキア|承認国|王国|チェコ&br;スロバキア|||ボヘミア||解放|形成|
|BGCOLOR(#B5486A):|~ALB|Albania|アルバニア|承認国|公国|アルバニア|||アルバニア||解放||
|BGCOLOR(#F0A782):|~BOS|Bosnia-Herzegovina|ボスニア・ヘルツェゴヴィナ|承認国|公国|ボスニア|||ボスニア||解放||
|BGCOLOR(#746B8C):|~BUL|Bulgaria|ブルガリア|承認国|王国|ブルガリア|||ブルガリア||解放||
|BGCOLOR(#A56F9F):|~CRE|Crete|クレタ|承認国|公国|ギリシャ|||クレタ||解放||
|BGCOLOR(#FF7EF2):|~CRO|Croatia|クロアチア|承認国|王国|クロアチア|||クロアチア|初期|解放||
|BGCOLOR(#4E4B27):|~CYP|Cyprus|キプロス|承認国|公国|ギリシャ|||キプロス||解放||
|BGCOLOR(#7AB4D2):|~GRE|Greece|ギリシャ|承認国|王国|ギリシャ|||アッティカ|初期|解放||
|BGCOLOR(#998D75):|~ION|Ionian Islands|イオニア諸島|承認国|公国|ギリシャ|||イオニア諸島|初期|解放||
|BGCOLOR(#889D17):|~MOL|Moldavia|モルダヴィア|承認国|公国|ルーマニア|||モルダヴィア|初期|解放||
|BGCOLOR(#276C8C):|~MON|Montenegro|モンテネグロ|承認国|公国|セルビア|||モンテネグロ|初期|解放||
|BGCOLOR(#1560B2):|~ROM|Romania|ルーマニア|承認国|王国|ルーマニア|||ワラキア||解放|形成|
|BGCOLOR(#A64839):|~SER|Serbia|セルビア|承認国|王国|セルビア|||西セルビア|初期|解放||
|BGCOLOR(#415B7E):|~SLO|Slovenia|スロベニア|承認国|公国|スロベニア|||スロベニア||解放||
|BGCOLOR(#AACEA2):|~TUR|Turkey|トルコ|承認国|帝国|トルコ|||東トラキア|初期|解放||
|BGCOLOR(#A17E80):|~WAL|Wallachia|ワラキア|承認国|公国|ルーマニア|||ワラキア|初期|解放||
|BGCOLOR(#323C64):|~YUG|Yugoslavia|ユーゴスラビア|承認国|帝国|セルビア&br;クロアチア&br;スロベニア&br;ボスニア&br;ブルガリア|||西セルビア||解放|形成|
|BGCOLOR(#717060):|~ABU|Trucial States|休戦オマーン|非承認国家|公国|ベドウィン|||休戦海岸|初期|解放||
|BGCOLOR(#5C9498):|~AFG|Afghanistan|アフガニスタン|非承認国家|王国|パシュトゥーン&br;タジク|||カブリスタン||解放|形成|
|BGCOLOR(#803F80):|~ARM|Armenia|アルメニア|承認国|王国|アルメニア|||アルメニア||解放||
|BGCOLOR(#38AC20):|~DAG|Dagestan|ダゲスタン|承認国|王国|北カフカース|||ダゲスタン||解放||
|BGCOLOR(#AC3820):|~AZB|Azerbaijan|アゼルバイジャン|承認国|王国|アゼルバイジャン|||バクー||解放||
|BGCOLOR(#9352AD):|~BUK|Bukhara|ブハラ|非承認国家|公国|ウズベク|||ウズベキスタン|初期|解放||
|BGCOLOR(#D22D2D):|~GEO|Georgia|ジョージア|承認国|王国|ジョージア|||チフリス||解放||
|BGCOLOR(#79E5D7):|~HDJ|Hedjaz|ヒジャーズ|非承認国家|公国|ベドウィン|スンナ派||ヒジャーズ|初期|解放||
|BGCOLOR(#7A846E):|~IRQ|Iraq|イラク|非承認国家|王国|マシュリク|||バグダード||解放||
|BGCOLOR(#BC7B67):|~KHI|Khiva|ヒヴァ|非承認国家|公国|ウズベク|||ホラスミア|初期|解放||
|BGCOLOR(#778291):|~KOK|Kokand|コーカンド|非承認国家|公国|キルギス|||フェルガナ|初期|解放||
|BGCOLOR(#6E96BE):|~KAZ|Kazakhstan|カザフスタン|非承認国家|王国|カザフ|||セミパラチンスク||解放|形成|
|BGCOLOR(#216030):|~MUG|Hindustan|ヒンドゥスターン|非承認国家|帝国|ヒンドゥスターン|スンナ派|イギリス領インドのカースト制度|デリー|初期||形成|
|BGCOLOR(#D1DB74):|~NEJ|Nejd|ナジュド|非承認国家|公国|ベドウィン|||ナジュド|初期|解放||
|BGCOLOR(#628699):|~OMA|Oman|オマーン|非承認国家|王国|ベドウィン|イバード派||オマーン|初期|解放||
|BGCOLOR(#3C96E6):|~PER|Persia|ペルシア|非承認国家|帝国|ペルシア|||エラクエ・アジャミ|初期|解放||
|BGCOLOR(#B73E3E):|~JAB|Jabal Shammar|ジャバル・シャンマル|非承認国家|公国|ベドウィン|||ハーイル|初期|解放||
|BGCOLOR(#FFBFBF):|~YEM|Yemen|イエメン|非承認国家|王国|イエメン&br;ベドウィン|||イエメン||解放|形成|
|BGCOLOR(#00994C):|~MAH|Mahra|マフラ|非承認国家|公国|ベドウィン&br;イエメン|||イエメン|初期|解放||
|BGCOLOR(#4F9840):|~KAT|Kathiri|カスィーリー|非承認国家|公国|ベドウィン&br;イエメン|||イエメン|初期|解放||
|BGCOLOR(#994C00):|~ZAI|Azal|アザル|非承認国家|公国|イエメン&br;ベドウィン|||イエメン|初期|解放||
|BGCOLOR(#D12929):|~LAH|Lahej|ラヒジュ|非承認国家|公国|ベドウィン&br;イエメン|スンナ派||イエメン|初期|解放||
|BGCOLOR(#A93333):|~BHN|Bahrain|バーレーン|非承認国家|公国|ベドウィン|||休戦海岸|初期|解放||
|BGCOLOR(#964DF0):|~HND|India|インド|非承認国家|帝国|マラーター&br;ビハール&br;タミル&br;オリア&br;グジャラート|||デリー||||
|BGCOLOR(#7AB361):|~AWA|Awadh|アワド|非承認国家|公国|アワディー|シーア派|イギリス領インドのカースト制度|アウド|初期|解放||
|BGCOLOR(#1532D4):|~BAS|Bastar|バスタール|非承認国家|公国|ゴーンディー&br;テルグ||イギリス領インドのカースト制度|中央州|初期|解放||
|BGCOLOR(#F58B7F):|~BER|Baroda|バローダ|非承認国家|公国|グジャラート&br;マラーター||イギリス領インドのカースト制度|グジャラート|初期|解放||
|BGCOLOR(#9A8123):|~BHO|Bhopal|ボーパール|非承認国家|公国|マラーター&br;パサン||イギリス領インドのカースト制度|マールワー|初期|解放||
|BGCOLOR(#FFD0AA):|~BIK|Bikaner|ビーカーネール|非承認国家|公国|ラージプート|||ラージプーターナー|初期|解放||
|BGCOLOR(#17728F):|~BUN|Orchha|オーチャ|非承認国家|公国|ブンデールカンド||イギリス領インドのカースト制度|ブンデールカンド|初期|解放||
|BGCOLOR(#99ED91):|~GWA|Gwalior|グワーリヤル|非承認国家|公国|マラーター&br;ブンデールカンド||イギリス領インドのカースト制度|マールワー|初期|解放||
|BGCOLOR(#598D8C):|~HYD|Hyderabad|ハイデラバード|非承認国家|公国|ダッキニー||イギリス領インドのカースト制度|ハイデラバード|初期|解放||
|BGCOLOR(#246DC2):|~BGL|Bengal|ベンガル|非承認国家|王国|ベンガル|||東ベンガル||解放|形成|
|BGCOLOR(#80AA3F):|~IND|Indore|インドール|非承認国家|公国|マラーター||イギリス領インドのカースト制度|マールワー|初期|解放||
|BGCOLOR(#4F59B6):|~JAI|Dhundhar|ドゥンダル|非承認国家|公国|ラージプート||イギリス領インドのカースト制度|ラージプーターナー|初期|解放||
|BGCOLOR(#638999):|~JAS|Jaisalmer|ジャイサルメール|非承認国家|公国|ラージプート||イギリス領インドのカースト制度|ラージプーターナー|初期|解放||
|BGCOLOR(#68CF8C):|~JOD|Marwar|マールワール|非承認国家|公国|ラージプート||イギリス領インドのカースト制度|ラージプーターナー|初期|解放||
|BGCOLOR(#6162C3):|~KAL|Kalat|カラート|非承認国家|公国|バローチ|||バルーチスターン|初期|解放||
|BGCOLOR(#3F961E):|~KAS|Kashmir|カシミール|非承認国家|公国|カシミール|||カシミール|初期|解放||
|BGCOLOR(#A3424A):|~KUT|Kutch|カッチ|非承認国家|公国|グジャラート||イギリス領インドのカースト制度|グジャラート|初期|解放||
|BGCOLOR(#31AFBF):|~LAD|Ladakh|ラダック|非承認国家|公国|チベット|||カシミール|初期|||
|BGCOLOR(#DB92A2):|~MAK|Makran|マクラン|非承認国家|公国|バローチ|||バルーチスターン|初期|解放||
|BGCOLOR(#8B8316):|~MEW|Mewar|メーワール|非承認国家|公国|ラージプート||イギリス領インドのカースト制度|ラージプーターナー|初期|解放||
|BGCOLOR(#ECF2F3):|~MYS|Mysore|マイソール|非承認国家|公国|カンナダ||イギリス領インドのカースト制度|マイソール|初期|解放||
|BGCOLOR(#78948C):|~NAG|Nagpur|ナーグプル|非承認国家|公国|マラーター||イギリス領インドのカースト制度|中央州|初期|解放||
|BGCOLOR(#89B77C):|~NEP|Nepal|ネパール|非承認国家|王国|ネパール|||西ヒマラヤ|初期|解放||
|BGCOLOR(#D26A2F):|~ORI|Orissa|オリッサ|非承認国家|王国|オリア|||オリッサ||解放|形成|
|BGCOLOR(#FF7722):|~PAN|Punjab|潘|非承認国家|王国|パンジャーブ|||パンジャーブ|初期|解放|形成|
|BGCOLOR(#8B8AA0):|~SIK|Sikkim|シッキム|非承認国家|公国|チベット|||東ヒマラヤ|初期|解放||
|BGCOLOR(#876855):|~SIN|Sindh|シンド|非承認国家|公国|シンド|||シンド|初期|解放||
|BGCOLOR(#86A675):|~TRA|Travancore|トラヴァンコール|非承認国家|公国|マラヤーラム||イギリス領インドのカースト制度|マラバル|初期|解放||
|BGCOLOR(#49984C):|~ACE|Aceh|アチェ|非承認国家|公国|スマトラ|||アチェ|初期|解放||
|BGCOLOR(#C9614A):|~BAL|Bali|バリ|非承認国家|公国|バリ&br;モルッカ|||スンダ列島|初期|解放||
|BGCOLOR(#5DB44C):|~BHU|Bhutan|ブータン|非承認国家|公国|チベット|||東ヒマラヤ|初期|解放||
|BGCOLOR(#8D59AE):|~LAN|Lanfang|蘭芳|非承認国家|公国|客家|||西ボルネオ|初期|解放||
|BGCOLOR(#2959AE):|~BRU|Brunei|ブルネイ|非承認国家|公国|ボルネオ|||北ボルネオ|初期|解放||
|BGCOLOR(#6DA87F):|~BUR|Burma|ビルマ|非承認国家|王国|ビルマ|||マンダレー|初期|解放||
|BGCOLOR(#7FB43C):|~CAM|Cambodia|カンボジア|非承認国家|王国|クメール|||カンボジア|初期|解放||
|BGCOLOR(#FCB93D):|~CHI|China|中国|非承認国家|帝国|満州&br;漢|||北京|初期|解放|形成|
|BGCOLOR(#88755A):|~DAI|Dai Nam|ベトナム|非承認国家|王国|ベトナム|儒教||アンナム|初期|解放||
|BGCOLOR(#A4D97F):|~JAV|Java|ジャワ|非承認国家|公国|ジャワ|||西ジャワ||解放||
|BGCOLOR(#9D9061):|~KOR|Korea|朝鮮|非承認国家|王国|朝鮮|||京畿|初期|解放||
|BGCOLOR(#BC0F2D):|~LAO|Laos|ラオス|非承認国家|王国|ラオス|||ラオス||解放|形成|
|BGCOLOR(#5D9358):|~LUA|Luang Prabang|ルアンパバーン|非承認国家|公国|ラオス|||ラオス|初期|解放||
|BGCOLOR(#4B7063):|~CHP|Champasak|チャンパーサック|非承認国家|公国|ラオス|||ラオス|初期|解放||
|BGCOLOR(#97AE1C):|~VIE|Vientiane|ヴィエンチャン|非承認国家|公国|ラオス|||ラオス||解放||
|BGCOLOR(#A59750):|~JOH|Johore|ジョホール|非承認国家|公国|マレー|||マラヤ|初期|解放||
|BGCOLOR(#5889AC):|~SIA|Siam|シャム|非承認国家|王国|タイ|||バンコク|初期|解放||
|BGCOLOR(#1110CB):|~CMI|Chiang Mai|チェンマイ|非承認国家|公国|タイ&br;シャン|||チェンマイ|初期|解放||
|BGCOLOR(#417FBA):|~TIB|Tibet|チベット|非承認国家|王国|チベット|||ラサ|初期|解放||
|BGCOLOR(#FFE07C):|~MGL|Mongolia|モンゴル|非承認国家|王国|モンゴル|||ウルガ||解放||
|BGCOLOR(#FFEAAE):|~XIN|Uyghuristan|心|非承認国家|王国|ウイグル|||タリム盆地||解放||
|BGCOLOR(#5C577A):|~PHI|Philippines|フィリピン|植民地国家|王国|フィリピン・メスティーソ&br;タガログ&br;イロカノ&br;ビサヤ|||ルソン|初期|解放||
|BGCOLOR(#FFFE7C):|~MCH|Manchuria|満州|非承認国家|王国|満州|||南吉林||解放||
|BGCOLOR(#90B56A):|~CAL|California|カリフォルニア|承認国|公国|ヤンキー&br;メキシコ|||カリフォルニア||解放||
|BGCOLOR(#71353F):|~CAN|Canada|カナダ|植民地国家|王国|イギリス系カナダ&br;フランス・カナダ|||オンタリオ||解放|形成|
|BGCOLOR(#699128):|~CHE|Cherokee|チェロキー|非承認国家|公国|チェロキー|||アーカンソー||解放||
|BGCOLOR(#C67185):|~COL|Columbia|コロンビア|植民地国家|公国|イングランド|||北コロンビア||||
|BGCOLOR(#CF483C):|~COS|Costa Rica|コスタリカ|承認国|公国|中央アメリカ|||コスタリカ||解放||
|BGCOLOR(#57C0CC):|~CUB|Cuba|キューバ|植民地国家|公国|カリベニョ|||西キューバ|初期|解放||
|BGCOLOR(#7D5C6E):|~DES|Deseret|デザレット|承認国|公国|ヤンキー&br;ディキシー|||ユタ||解放||
|BGCOLOR(#5DC27A):|~DOM|Santo Domingo|サントドミンゴ|承認国|公国|カリベニョ&br;アフリカ系カリベニョ|||サント・ドミンゴ||解放||
|BGCOLOR(#002F5E):|~ELS|El Salvador|エルサルバドル|承認国|公国|中央アメリカ|||サンサルバドル||解放||
|BGCOLOR(#73C2FB):|~GUA|Guatemala|グアテマラ|承認国|公国|中央アメリカ|||グアテマラ||解放||
|BGCOLOR(#73FBC2):|~ALT|Los Altos|ロスアルトス|承認国|公国|中央アメリカ|||グアテマラ||解放||
|BGCOLOR(#8BB3CF):|~HAI|Haiti|ハイチ|承認国|公国|アフリカ系アンティル|||ハイチ|初期|解放||
|BGCOLOR(#73ECFA):|~ATL|Antillean Confederation|アンティル連邦|承認国|王国|カリベニョ&br;アフリカ系カリベニョ|||サント・ドミンゴ||解放|形成|
|BGCOLOR(#388F35):|~MEX|Mexico|メキシコ|承認国|王国|メキシコ|||メキシコ|初期|解放|形成|
|BGCOLOR(#DDBAA3):|~MTC|Métis|メティス|非承認国家|公国|メティス|||マニトバ||解放||
|BGCOLOR(#EBF0F7):|~HON|Honduras|ホンジュラス|承認国|公国|中央アメリカ|||ホンジュラス||解放||
|BGCOLOR(#A6E055):|~NEN|New England|ニューイングランド|承認国|大公国|ヤンキー|||マサチューセッツ||解放||
|BGCOLOR(#FFD338):|~NEW|Newfoundland|ニューファンドランド|植民地国家|公国|イギリス系カナダ|||ニューファンドランド||解放||
|BGCOLOR(#2258BA):|~NIC|Nicaragua|ニカラグア|承認国|公国|中央アメリカ|||ニカラグア||解放||
|BGCOLOR(#96553D):|~PNM|Panama|パナマ|承認国|公国|中央アメリカ|||パナマ||解放||
|BGCOLOR(#C28C56):|~QUE|Quebec|ケベック|植民地国家|公国|フランス・カナダ|||ケベック|初期|解放||
|BGCOLOR(#635B45):|~HBC|Hudson's Bay Company|ハドソン湾会社|植民地国家|公国|イギリス系カナダ|||マニトバ|初期|||
|BGCOLOR(#88485B):|~ONT|Ontario|オンタリオ|植民地国家|公国|イギリス系カナダ|||オンタリオ|初期|解放||
|BGCOLOR(#EBC480):|~NBS|New Brunswick|ニューブランズウィック|植民地国家|公国|イギリス系カナダ&br;フランス・カナダ|||沿海州|初期|解放||
|BGCOLOR(#94CD87):|~NVS|Nova Scotia|ノバスコシア|植民地国家|公国|イギリス系カナダ|||沿海州|初期|解放||
|BGCOLOR(#042768):|~TEX|Texas|テキサス|承認国|公国|ディキシー|||テキサス|初期|解放||
|BGCOLOR(#5AAFFF):|~UCA|Central America|中央アメリカ|承認国|王国|中央アメリカ|||サンサルバドル|初期|解放|形成|
|BGCOLOR(#6566A3):|~ARG|Argentina|アルゼンチン|承認国|王国|プラティニア|||ブエノスアイレス|初期|解放||
|BGCOLOR(#DBB6B6):|~BOL|Bolivia|ボリビア|承認国|王国|南アンデス|||ラパス|初期|解放||
|BGCOLOR(#269B53):|~BRZ|Brazil|ブラジル|承認国|帝国|ブラジル|||リオデジャネイロ|初期|解放|形成|
|BGCOLOR(#EC9F59):|~CHL|Chile|チリ|承認国|王国|南アンデス|||サンティアゴ|初期|解放||
|BGCOLOR(#FFEAA8):|~CLM|Colombia|コロンビア|承認国|王国|北アンデス|||クンディナマルカ|初期|解放|形成|
|BGCOLOR(#2B8DAC):|~ECU|Ecuador|エクアドル|承認国|公国|北アンデス|||エクアドル|初期|解放||
|BGCOLOR(#7C8CA2):|~PEU|Peru|ペルー|承認国|王国|南アンデス|||リマ||解放|形成|
|BGCOLOR(#B12C1D):|~PRG|Paraguay|パラグアイ|承認国|公国|プラティニア&br;グアラニー|||バホ・パラグアイ|初期|解放||
|BGCOLOR(#836555):|~URU|Uruguay|ウルグアイ|承認国|公国|プラティニア|||ウルグアイ|初期|解放||
|BGCOLOR(#FFB08C):|~VNZ|Venezuela|ベネズエラ|承認国|王国|北アンデス|||ミランダ|初期|解放||
|BGCOLOR(#96D4D6):|~ISR|Israel|イスラエル|植民地国家|公国|アシュケナージ&br;セファルディム|ユダヤ教||パレスチナ||解放||
|BGCOLOR(#9352AD):|~BYZ|Byzantium|ビザンツ|承認国|帝国|ギリシャ|||東トラキア|||形成|
|BGCOLOR(#3E819B):|~ICL|Iceland|アイスランド|承認国|公国|アイスランド|||アイスランド||解放||
